origen,destino,distancia_km,tipo_transporte,dia_semana,hora,es_hora_pico,es_finde_semana,tiempo_viaje_min,costo,transferencias,clima,ocupacion_estimada
San Javier,Exposiciones,11.4,Taxi,Martes,4,0,0,2.5,13498,1,Soleado,31
Prado,Poblado,1.6,Metro,Domingo,10,0,1,0.5,1685,2,Nublado,33
Industriales,Bello,12.2,Metro,Jueves,11,1,0,5.0,12883,1,Nublado,28
San Antonio,Santa Lucia,13.5,Caminando,Miercoles,16,0,0,32.3,15026,1,Tormenta,15
Poblado,Estadio,1.6,Caminando,Miercoles,9,0,0,3.0,1794,0,Tormenta,63
Poblado,La Estrella,7.3,Caminando,Martes,10,0,0,13.4,5979,1,Lluvia,60
Prado,Niquia,14.3,Caminando,Lunes,1,0,0,28.0,14586,0,Soleado,45
Envigado,Itagui,11.8,Cable,Jueves,16,0,0,2.4,12945,1,Lluvia,24
Hospital,Industriales,1.2,Caminando,Miercoles,5,0,0,2.3,1110,3,Soleado,22
Tricentenario,Estadio,10.4,Taxi,Viernes,21,0,0,2.0,9402,1,Lluvia,22
Estadio,Parque Berrio,2.1,Taxi,Domingo,22,0,1,0.3,1682,1,Soleado,44
Caribe,Acevedo,8.2,Cable,Domingo,3,0,1,1.6,6904,2,Soleado,55
Caribe,Industriales,13.8,Bus,Martes,8,1,0,10.6,11482,1,Nublado,53
Caribe,Envigado,1.4,Caminando,Jueves,15,0,0,3.2,1429,0,Tormenta,37
Caribe,Hospital,14.7,Caminando,Domingo,15,0,1,32.3,17625,3,Tormenta,59
San Antonio,San Javier,7.3,Taxi,Sabado,1,0,1,1.1,8322,2,Lluvia,63
Floresta,Niquia,12.8,Taxi,Martes,2,0,0,2.7,10995,1,Tormenta,73
Envigado,Itagui,12.0,Taxi,Lunes,19,1,0,3.7,12204,2,Soleado,23
Bello,San Antonio,15.0,Bus,Martes,8,1,0,9.0,16065,2,Soleado,73
Parque Berrio,Estadio,14.7,Taxi,Lunes,0,0,0,2.7,12789,0,Lluvia,24
Acevedo,Parque Berrio,9.1,Taxi,Jueves,3,0,0,1.9,7508,2,Lluvia,80
Estadio,Envigado,13.7,Metro,Miercoles,17,1,0,6.6,11234,2,Tormenta,21
San Javier,San Antonio,2.3,Taxi,Lunes,4,0,0,1.9,1888,3,Lluvia,61
Envigado,Acevedo,2.1,Taxi,Domingo,18,1,1,0.6,1791,0,Tormenta,37
Floresta,Santa Lucia,14.9,Bus,Viernes,23,0,0,4.2,13991,1,Tormenta,80
Hospital,Bello,3.7,Cable,Sabado,19,1,1,1.1,4077,3,Lluvia,44
Hospital,La Estrella,10.1,Metro,Domingo,13,1,1,6.0,9060,2,Nublado,83
Caribe,San Javier,2.9,Caminando,Lunes,21,0,0,4.7,3425,0,Soleado,97
Exposiciones,Tricentenario,10.1,Bus,Jueves,3,0,0,4.6,8151,3,Soleado,53
Universidad,Aguacatala,13.2,Bus,Lunes,23,0,0,4.7,15008,2,Tormenta,94
Universidad,San Javier,3.6,Bus,Miercoles,12,1,0,2.8,3780,2,Tormenta,16
Prado,Niquia,11.9,Cable,Martes,5,0,0,2.5,12709,2,Nublado,62
Acevedo,San Antonio,7.0,Bus,Lunes,8,1,0,3.4,7700,3,Lluvia,48
La Estrella,Hospital,12.8,Cable,Domingo,22,0,1,2.8,13376,1,Tormenta,27
Niquia,Suramericana,4.1,Bus,Jueves,15,0,0,2.1,3583,0,Lluvia,57
Ayura,Prado,11.4,Metro,Martes,21,0,0,3.1,9736,1,Lluvia,42
Suramericana,Hospital,9.8,Caminando,Martes,18,1,0,30.4,9477,3,Lluvia,10
Aguacatala,Universidad,11.1,Bus,Martes,23,0,0,4.2,10423,1,Tormenta,95
Cisneros,Sabaneta,6.3,Caminando,Jueves,11,1,0,23.1,6124,2,Tormenta,40
Envigado,San Antonio,10.7,Cable,Domingo,13,1,1,3.4,8795,1,Tormenta,62
Envigado,Estadio,11.1,Metro,Sabado,21,0,1,3.3,10978,0,Soleado,42
Niquia,Sabaneta,13.5,Cable,Lunes,8,1,0,4.4,11434,2,Nublado,15
Aguacatala,Floresta,14.0,Taxi,Domingo,5,0,1,2.8,14140,2,Soleado,21
Ayura,Sabaneta,7.0,Bus,Miercoles,8,1,0,3.8,8092,1,Soleado,22
La Estrella,Itagui,3.4,Metro,Lunes,8,1,0,1.6,3060,1,Nublado,26
Parque Berrio,Aguacatala,9.7,Metro,Viernes,14,1,0,4.4,9574,2,Tormenta,29
Santa Lucia,Madera,3.4,Bus,Domingo,12,1,1,1.4,3451,0,Soleado,30
Universidad,Madera,4.2,Bus,Viernes,3,0,0,2.0,4477,2,Tormenta,30
Cisneros,Sabaneta,14.4,Caminando,Viernes,18,1,0,44.8,13565,2,Lluvia,87
Universidad,Estadio,6.3,Metro,Viernes,12,1,0,3.8,5412,1,Soleado,39
Floresta,Santa Lucia,6.5,Caminando,Jueves,17,1,0,22.8,5376,1,Nublado,26
Hospital,Bello,4.4,Caminando,Viernes,17,1,0,13.2,4101,2,Lluvia,80
Tricentenario,Universidad,3.0,Metro,Jueves,15,0,0,1.1,2535,1,Tormenta,19
Industriales,Estadio,7.5,Caminando,Martes,23,0,0,16.1,7290,0,Soleado,11
Estadio,Niquia,3.3,Metro,Jueves,2,0,0,1.2,2775,0,Nublado,71
Suramericana,Acevedo,1.8,Cable,Viernes,20,0,0,0.4,1463,1,Lluvia,50
Exposiciones,Santa Lucia,11.5,Metro,Martes,20,0,0,3.5,10062,3,Lluvia,72
Ayura,Suramericana,8.0,Metro,Miercoles,5,0,0,3.0,8320,0,Tormenta,69
Niquia,Madera,13.4,Caminando,Domingo,0,0,1,25.5,11323,2,Lluvia,77
Tricentenario,Industriales,6.8,Cable,Jueves,3,0,0,1.4,6555,2,Soleado,56
Parque Berrio,Caribe,8.7,Caminando,Sabado,23,0,1,14.2,8770,1,Nublado,62
Sabaneta,La Estrella,12.0,Caminando,Domingo,19,1,1,31.2,12828,1,Nublado,18
Bello,Parque Berrio,12.7,Metro,Martes,12,1,0,5.7,10185,2,Lluvia,92
Caribe,Itagui,6.3,Cable,Sabado,7,1,1,2.1,5903,1,Nublado,96
Madera,Caribe,11.2,Cable,Jueves,21,0,0,2.2,12779,2,Tormenta,48
Caribe,Niquia,6.2,Bus,Domingo,22,0,1,2.8,5636,0,Lluvia,42
Madera,Aguacatala,3.2,Metro,Sabado,9,0,1,1.3,3034,0,Nublado,61
Suramericana,Hospital,5.1,Taxi,Martes,17,1,0,4.7,5064,2,Tormenta,45
Parque Berrio,Envigado,11.8,Caminando,Lunes,16,0,0,25.8,12791,1,Lluvia,52
Floresta,Tricentenario,10.4,Cable,Domingo,22,0,1,2.0,11721,0,Lluvia,40
Universidad,Hospital,9.2,Bus,Martes,6,1,0,6.2,8022,0,Soleado,22
Santa Lucia,Sabaneta,8.6,Cable,Sabado,14,1,1,2.5,9658,1,Tormenta,37
Tricentenario,Industriales,13.0,Taxi,Sabado,1,0,1,2.9,15392,3,Lluvia,59
Acevedo,Aguacatala,1.1,Caminando,Lunes,17,1,0,3.3,897,0,Lluvia,63
Acevedo,Itagui,4.4,Bus,Domingo,16,0,1,1.6,5100,3,Lluvia,46
Cisneros,Sabaneta,6.5,Metro,Viernes,0,0,0,2.3,5388,0,Lluvia,87
Madera,Cisneros,2.5,Metro,Sabado,20,0,1,0.8,2678,3,Lluvia,13
Itagui,Tricentenario,14.2,Cable,Jueves,5,0,0,2.9,11885,1,Tormenta,45
San Antonio,Alpujarra,14.1,Cable,Domingo,2,0,1,2.9,13395,1,Tormenta,15
Cisneros,Alpujarra,14.1,Metro,Domingo,7,1,1,8.1,15016,0,Soleado,26
Industriales,Suramericana,8.3,Metro,Miercoles,6,1,0,3.6,7014,0,Tormenta,29
San Javier,Poblado,2.4,Metro,Sabado,23,0,1,0.7,2338,2,Soleado,65
Ayura,Itagui,7.8,Bus,Martes,18,1,0,5.7,6809,1,Lluvia,47
Floresta,Bello,12.1,Metro,Domingo,9,0,1,4.8,11798,2,Nublado,71
San Javier,Envigado,4.0,Caminando,Martes,13,1,0,13.6,3408,2,Tormenta,98
Santa Lucia,Niquia,14.9,Caminando,Sabado,16,0,1,30.8,14125,2,Nublado,12
Santa Lucia,Poblado,11.6,Taxi,Domingo,5,0,1,2.6,12992,3,Tormenta,94
Parque Berrio,Itagui,2.3,Caminando,Martes,23,0,0,4.6,2270,3,Nublado,28
San Antonio,Sabaneta,9.0,Metro,Sabado,0,0,1,3.4,8001,1,Soleado,33
Cisneros,Estadio,6.7,Bus,Sabado,4,0,1,2.8,6754,0,Tormenta,29
Exposiciones,San Javier,10.0,Metro,Sabado,13,1,1,4.1,11700,1,Nublado,51
San Javier,Santa Lucia,13.6,Caminando,Sabado,20,0,1,27.4,14783,0,Lluvia,10
Alpujarra,Poblado,5.8,Metro,Viernes,22,0,0,2.0,5075,3,Lluvia,79
San Javier,Tricentenario,12.0,Cable,Viernes,8,1,0,3.5,10044,1,Soleado,81
Aguacatala,Cisneros,11.7,Cable,Jueves,21,0,0,2.5,11372,0,Lluvia,34
Estadio,Prado,9.2,Cable,Domingo,4,0,1,1.9,8639,0,Soleado,31
Aguacatala,Suramericana,9.4,Bus,Miercoles,0,0,0,4.7,7783,0,Tormenta,74
Universidad,Madera,12.5,Metro,Martes,6,1,0,6.2,12400,0,Lluvia,20
Parque Berrio,San Javier,1.8,Caminando,Viernes,23,0,0,3.5,2020,1,Tormenta,92
Industriales,San Javier,4.1,Bus,Domingo,23,0,1,3.9,4207,2,Tormenta,30
Bello,Floresta,11.7,Cable,Jueves,23,0,0,2.3,10179,2,Soleado,81
Suramericana,Madera,13.9,Cable,Lunes,15,0,0,3.0,15401,0,Lluvia,12
Exposiciones,Envigado,3.8,Caminando,Jueves,2,0,0,7.5,3295,2,Lluvia,31
Universidad,Exposiciones,7.5,Cable,Martes,14,1,0,2.5,8602,0,Soleado,87
Caribe,Niquia,4.3,Cable,Jueves,7,1,0,1.4,4528,2,Tormenta,25
Universidad,Hospital,5.3,Cable,Sabado,21,0,1,1.1,4696,2,Soleado,28
Exposiciones,Parque Berrio,4.9,Caminando,Jueves,3,0,0,11.7,4430,2,Soleado,60
Aguacatala,Itagui,10.3,Metro,Viernes,14,1,0,9.3,8724,3,Nublado,23
La Estrella,Universidad,9.0,Taxi,Martes,13,1,0,2.8,10359,3,Nublado,64
Cisneros,Hospital,8.6,Caminando,Lunes,3,0,0,20.6,8368,1,Tormenta,12
Aguacatala,Cisneros,6.6,Caminando,Lunes,23,0,0,15.5,6890,0,Tormenta,73
Hospital,Industriales,11.7,Caminando,Lunes,0,0,0,22.2,13303,1,Nublado,38
La Estrella,Alpujarra,14.9,Taxi,Viernes,5,0,0,3.2,12024,2,Tormenta,23
San Javier,Prado,8.3,Cable,Domingo,4,0,1,1.7,9064,1,Lluvia,82
Exposiciones,Aguacatala,4.3,Caminando,Martes,17,1,0,14.2,3474,1,Nublado,14
San Antonio,Cisneros,10.3,Metro,Jueves,22,0,0,3.5,11392,2,Lluvia,92
Tricentenario,San Antonio,10.1,Caminando,Domingo,23,0,1,18.5,10898,3,Soleado,98
La Estrella,Poblado,13.5,Metro,Miercoles,5,0,0,4.3,12150,1,Soleado,88
Poblado,Prado,11.1,Cable,Domingo,19,1,1,3.5,11677,3,Nublado,89
Itagui,Industriales,12.7,Caminando,Viernes,22,0,0,21.6,11430,3,Soleado,92
Envigado,San Antonio,10.6,Caminando,Miercoles,12,1,0,35.1,8639,2,Tormenta,58
Floresta,Sabaneta,1.4,Taxi,Jueves,14,1,0,0.3,1677,2,Lluvia,44
Prado,Caribe,3.7,Caminando,Lunes,14,1,0,11.9,4166,1,Nublado,97
Envigado,Estadio,13.1,Caminando,Domingo,12,1,1,40.9,11161,2,Tormenta,31
Prado,Madera,11.1,Taxi,Domingo,17,1,1,3.7,11089,1,Nublado,61
Itagui,Hospital,2.4,Bus,Miercoles,16,0,0,1.2,2050,3,Lluvia,56
Niquia,San Javier,14.3,Cable,Martes,8,1,0,3.8,15001,2,Lluvia,38
Niquia,Hospital,13.3,Taxi,Martes,19,1,0,5.5,11398,3,Tormenta,31
Bello,Hospital,4.8,Caminando,Sabado,10,0,1,7.8,4354,3,Lluvia,21
San Antonio,Parque Berrio,3.8,Cable,Martes,10,0,0,0.7,4245,1,Tormenta,70
Floresta,Ayura,12.9,Metro,Viernes,13,1,0,6.3,11300,0,Lluvia,21
Bello,Suramericana,9.6,Taxi,Martes,14,1,0,3.2,10003,0,Nublado,71
Niquia,Parque Berrio,6.6,Taxi,Sabado,7,1,1,2.8,7900,3,Tormenta,17
San Antonio,Suramericana,8.5,Caminando,Miercoles,13,1,0,26.8,9868,2,Lluvia,95
Prado,Itagui,12.2,Taxi,Miercoles,13,1,0,3.7,10870,1,Lluvia,88
Acevedo,Madera,14.1,Cable,Viernes,0,0,0,2.5,12394,2,Lluvia,91
Hospital,Sabaneta,10.0,Bus,Viernes,7,1,0,8.6,9660,2,Soleado,36
Niquia,Alpujarra,9.9,Taxi,Jueves,1,0,0,1.9,11375,0,Lluvia,48
Parque Berrio,Envigado,9.2,Caminando,Miercoles,12,1,0,34.1,10608,1,Tormenta,67
La Estrella,Cisneros,3.1,Cable,Viernes,20,0,0,0.6,3295,1,Lluvia,46
Universidad,Madera,11.3,Caminando,Martes,5,0,0,19.8,10193,1,Soleado,90
Parque Berrio,La Estrella,13.4,Metro,Viernes,12,1,0,6.8,12114,3,Lluvia,13
Envigado,Caribe,10.3,Cable,Sabado,16,0,1,1.9,10084,3,Tormenta,51
Prado,Estadio,7.8,Taxi,Miercoles,20,0,0,1.5,6365,2,Nublado,89
Madera,Envigado,11.2,Cable,Martes,21,0,0,2.2,10002,3,Soleado,92
Aguacatala,Caribe,3.8,Metro,Sabado,21,0,1,1.4,4138,1,Soleado,51
Caribe,Universidad,11.4,Bus,Jueves,18,1,0,10.0,11024,0,Lluvia,40
Envigado,Itagui,10.1,Bus,Viernes,5,0,0,4.5,11060,1,Lluvia,81
Parque Berrio,Prado,11.3,Cable,Martes,15,0,0,2.4,11311,2,Nublado,12
Itagui,San Antonio,9.6,Taxi,Sabado,18,1,1,3.0,10541,3,Soleado,33
Itagui,Caribe,5.6,Cable,Miercoles,5,0,0,1.2,6653,3,Soleado,37
Aguacatala,Floresta,2.8,Taxi,Miercoles,18,1,0,0.7,2430,2,Tormenta,16
Envigado,Universidad,11.7,Bus,Lunes,1,0,0,4.6,13467,3,Tormenta,54
San Javier,Universidad,3.6,Taxi,Lunes,16,0,0,0.8,2992,0,Nublado,12
Prado,San Antonio,12.4,Bus,Viernes,20,0,0,6.0,10614,3,Soleado,54
Cisneros,Caribe,11.9,Bus,Lunes,2,0,0,5.2,13959,2,Soleado,21
Parque Berrio,Universidad,1.8,Cable,Jueves,20,0,0,0.4,1971,3,Tormenta,20
Universidad,Santa Lucia,3.0,Caminando,Sabado,2,0,1,4.9,2631,0,Nublado,30
Acevedo,Santa Lucia,1.7,Cable,Martes,14,1,0,0.6,1457,3,Tormenta,23
Tricentenario,Universidad,7.3,Metro,Lunes,19,1,0,4.3,8680,3,Nublado,35
Sabaneta,Estadio,7.0,Bus,Domingo,9,0,1,2.5,7966,1,Tormenta,93
San Javier,Cisneros,11.7,Taxi,Miercoles,3,0,0,2.1,11056,0,Tormenta,90
Ayura,Tricentenario,14.7,Taxi,Domingo,18,1,1,3.5,16199,1,Lluvia,54
Floresta,Exposiciones,11.0,Metro,Martes,0,0,0,3.8,13178,3,Soleado,22
Hospital,Aguacatala,6.9,Metro,Viernes,8,1,0,3.2,6603,1,Nublado,13
Prado,Madera,14.0,Bus,Martes,4,0,0,5.3,12348,3,Nublado,81
Aguacatala,Prado,7.2,Metro,Jueves,19,1,0,3.5,7934,0,Tormenta,39
Tricentenario,Caribe,5.8,Taxi,Lunes,20,0,0,1.0,6670,0,Nublado,99
Santa Lucia,Parque Berrio,1.2,Metro,Jueves,1,0,0,0.4,1265,3,Lluvia,64
Suramericana,Parque Berrio,9.3,Caminando,Lunes,11,1,0,30.5,8258,1,Lluvia,71
Cisneros,Acevedo,1.0,Bus,Viernes,14,1,0,0.4,1063,0,Soleado,36
Niquia,Cisneros,7.3,Cable,Sabado,7,1,1,2.5,7417,0,Soleado,76
Acevedo,Cisneros,9.3,Taxi,Lunes,3,0,0,2.2,9068,0,Tormenta,20
Universidad,Envigado,4.5,Metro,Martes,14,1,0,2.1,3708,2,Lluvia,77
Prado,Ayura,2.6,Taxi,Domingo,12,1,1,0.6,2543,2,Tormenta,64
Santa Lucia,Industriales,3.9,Caminando,Sabado,15,0,1,8.0,4458,1,Tormenta,30
Cisneros,Suramericana,7.1,Cable,Domingo,13,1,1,1.9,6553,1,Tormenta,12
Bello,Madera,2.4,Taxi,Sabado,13,1,1,2.0,2062,0,Tormenta,85
Aguacatala,Santa Lucia,1.3,Cable,Miercoles,8,1,0,0.4,1407,0,Lluvia,83
Niquia,Alpujarra,5.4,Bus,Lunes,22,0,0,1.7,5999,0,Lluvia,92
Cisneros,Sabaneta,9.9,Cable,Martes,19,1,0,2.9,11385,0,Tormenta,58
Sabaneta,Envigado,14.4,Taxi,Sabado,13,1,1,3.7,15091,3,Lluvia,41
Hospital,Caribe,11.3,Taxi,Martes,5,0,0,2.8,12475,2,Soleado,88
Poblado,Cisneros,3.3,Metro,Martes,22,0,0,1.1,3755,1,Soleado,37
Poblado,Bello,2.5,Caminando,Domingo,17,1,1,8.3,2842,0,Lluvia,22
Envigado,Cisneros,13.6,Metro,Jueves,11,1,0,7.0,11030,2,Soleado,19
Envigado,Exposiciones,3.3,Taxi,Jueves,17,1,0,0.9,3521,1,Tormenta,74
Alpujarra,Aguacatala,12.4,Metro,Sabado,5,0,1,3.7,12921,2,Tormenta,95
Madera,Universidad,5.2,Bus,Lunes,18,1,0,3.3,4576,3,Lluvia,31
Sabaneta,Santa Lucia,7.5,Cable,Martes,16,0,0,1.6,8572,3,Soleado,44
Bello,Sabaneta,4.6,Taxi,Lunes,22,0,0,1.1,4674,0,Lluvia,64
Bello,Ayura,7.8,Caminando,Martes,7,1,0,28.4,7129,2,Tormenta,55
Acevedo,Suramericana,3.5,Cable,Sabado,21,0,1,0.7,3552,2,Tormenta,59
Envigado,Hospital,4.7,Taxi,Lunes,13,1,0,1.3,4127,2,Soleado,59
Tricentenario,Universidad,4.9,Taxi,Viernes,7,1,0,1.3,5870,1,Lluvia,78
Exposiciones,Itagui,13.3,Caminando,Domingo,19,1,1,32.5,15760,3,Soleado,64
Niquia,La Estrella,4.0,Metro,Sabado,9,0,1,1.5,4748,1,Lluvia,94
Estadio,Sabaneta,2.5,Bus,Martes,22,0,0,0.8,2000,2,Nublado,41
Bello,Parque Berrio,6.6,Taxi,Domingo,16,0,1,1.5,5834,2,Lluvia,48
Aguacatala,Tricentenario,7.0,Taxi,Miercoles,19,1,0,2.6,6580,0,Tormenta,61
Madera,Ayura,10.8,Cable,Lunes,16,0,0,2.2,11653,0,Soleado,61
Poblado,Itagui,7.2,Bus,Miercoles,8,1,0,4.7,6588,2,Nublado,60
La Estrella,Exposiciones,10.8,Taxi,Martes,13,1,0,3.7,10357,3,Lluvia,98
Madera,Alpujarra,12.3,Taxi,Miercoles,8,1,0,2.6,13604,1,Soleado,97
Estadio,Aguacatala,13.4,Taxi,Miercoles,22,0,0,2.1,13963,0,Tormenta,97
Floresta,Bello,3.9,Bus,Domingo,17,1,1,2.1,3370,0,Lluvia,51
Alpujarra,La Estrella,1.7,Metro,Lunes,15,0,0,0.6,1622,1,Lluvia,77
Itagui,Prado,15.0,Bus,Sabado,9,0,1,6.7,17685,3,Tormenta,73
Industriales,Bello,1.2,Taxi,Martes,8,1,0,0.4,1183,3,Tormenta,53
Envigado,Niquia,14.5,Caminando,Martes,9,0,0,25.4,16110,0,Tormenta,26
Hospital,Cisneros,12.0,Taxi,Martes,12,1,0,3.9,13896,2,Soleado,23
Exposiciones,San Javier,4.2,Taxi,Jueves,19,1,0,1.1,3704,1,Soleado,32
Tricentenario,San Antonio,10.7,Bus,Miercoles,13,1,0,6.3,11909,0,Tormenta,13
Acevedo,Madera,2.3,Bus,Sabado,22,0,1,1.1,2134,3,Soleado,10
Estadio,Envigado,7.7,Metro,Martes,15,0,0,2.6,6930,0,Nublado,83
Sabaneta,Alpujarra,2.9,Cable,Martes,8,1,0,1.0,3265,3,Soleado,28
Floresta,Acevedo,4.2,Bus,Martes,6,1,0,3.0,4103,3,Soleado,69
Envigado,Alpujarra,5.3,Bus,Martes,8,1,0,2.6,5602,2,Lluvia,56
Suramericana,Estadio,4.6,Taxi,Sabado,1,0,1,1.0,4779,2,Nublado,35
Madera,Tricentenario,5.0,Bus,Jueves,4,0,0,2.0,5870,3,Soleado,67
