origen,destino,distancia_km,dia_semana,hora,es_hora_pico,es_finde_semana,es_urgente,presupuesto,transporte_optimo
Bello,Envigado,6.2,Lunes,8,1,0,0,bajo,Bus
Estadio,Ayura,2.7,Domingo,15,0,1,1,bajo,Taxi
Madera,Caribe,2.0,Miercoles,16,0,0,1,medio,Taxi
Suramericana,Bello,6.1,Jueves,21,0,0,1,bajo,Taxi
Bello,Sabaneta,10.8,Domingo,3,0,1,1,medio,Taxi
Envigado,Bello,1.9,Domingo,11,1,1,1,bajo,Taxi
Industriales,Envigado,3.6,Viernes,0,0,0,0,medio,Bus
Acevedo,Niquia,15.9,Jueves,7,1,0,0,alto,Metro
Caribe,Exposiciones,18.8,Domingo,8,1,1,1,alto,Taxi
Prado,Envigado,17.5,Martes,13,1,0,1,medio,Taxi
Floresta,Exposiciones,5.5,Sabado,1,0,1,0,medio,Metro
Caribe,Poblado,15.5,Viernes,14,1,0,1,bajo,Taxi
Acevedo,Envigado,10.9,Miercoles,0,0,0,0,medio,Bus
Sabaneta,Niquia,9.7,Miercoles,15,0,0,0,medio,Taxi
Cisneros,Envigado,11.8,Domingo,2,0,1,1,bajo,Taxi
Madera,Tricentenario,11.7,Miercoles,22,0,0,1,medio,Taxi
La Estrella,Itagui,19.1,Sabado,20,0,1,0,alto,Bus
Santa Lucia,Parque Berrio,5.9,Miercoles,12,1,0,0,bajo,Bus
Niquia,San Javier,10.3,Martes,16,0,0,1,bajo,Taxi
Madera,Alpujarra,11.0,Martes,6,1,0,0,alto,Metro
Parque Berrio,Itagui,16.7,Domingo,15,0,1,0,alto,Metro
Itagui,Niquia,1.6,Lunes,3,0,0,0,bajo,Caminando
Cisneros,San Javier,17.1,Viernes,7,1,0,1,alto,Taxi
Niquia,La Estrella,17.2,Viernes,2,0,0,0,medio,Bus
Cisneros,Universidad,2.3,Sabado,13,1,1,1,alto,Taxi
Suramericana,La Estrella,11.4,Lunes,10,0,0,0,alto,Taxi
Niquia,Poblado,17.8,Sabado,1,0,1,0,bajo,Bus
Envigado,Aguacatala,17.0,Viernes,6,1,0,1,medio,Taxi
Tricentenario,Hospital,8.4,Domingo,10,0,1,1,bajo,Taxi
Estadio,Envigado,12.3,Martes,14,1,0,1,medio,Taxi
Parque Berrio,Bello,18.4,Martes,14,1,0,1,bajo,Taxi
Suramericana,Tricentenario,8.0,Martes,17,1,0,0,alto,Bus
Estadio,Santa Lucia,3.4,Viernes,0,0,0,1,medio,Taxi
Madera,San Antonio,16.7,Sabado,4,0,1,0,medio,Taxi
Ayura,Prado,3.2,Sabado,11,1,1,1,medio,Taxi
Itagui,Exposiciones,14.3,Domingo,23,0,1,1,alto,Taxi
Prado,Madera,9.8,Lunes,11,1,0,1,alto,Taxi
Universidad,Caribe,5.1,Lunes,12,1,0,0,medio,Bus
La Estrella,Aguacatala,5.9,Sabado,8,1,1,0,alto,Bus
Bello,Aguacatala,4.4,Sabado,9,0,1,1,alto,Taxi
San Antonio,Bello,12.5,Sabado,21,0,1,1,alto,Taxi
Cisneros,Industriales,7.6,Domingo,9,0,1,0,alto,Bus
Sabaneta,Santa Lucia,4.7,Miercoles,16,0,0,1,medio,Taxi
Tricentenario,Exposiciones,14.6,Domingo,17,1,1,1,alto,Taxi
Santa Lucia,Parque Berrio,13.3,Martes,8,1,0,1,alto,Taxi
Envigado,Aguacatala,7.3,Martes,13,1,0,1,medio,Taxi
Madera,Tricentenario,6.9,Sabado,16,0,1,0,alto,Metro
Suramericana,Cisneros,12.5,Viernes,23,0,0,0,bajo,Bus
Niquia,Hospital,3.5,Miercoles,23,0,0,1,medio,Taxi
Caribe,Exposiciones,18.7,Jueves,11,1,0,0,bajo,Bus
Prado,Sabaneta,18.8,Miercoles,8,1,0,0,bajo,Bus
Industriales,Santa Lucia,9.9,Jueves,8,1,0,0,medio,Bus
Bello,Aguacatala,14.3,Sabado,0,0,1,1,bajo,Taxi
Bello,Floresta,13.4,Lunes,4,0,0,1,alto,Taxi
Ayura,Alpujarra,19.7,Jueves,20,0,0,1,bajo,Taxi
Exposiciones,Floresta,11.9,Martes,18,1,0,1,medio,Taxi
La Estrella,Prado,10.2,Miercoles,3,0,0,0,bajo,Bus
Niquia,Floresta,7.2,Miercoles,0,0,0,0,medio,Taxi
Floresta,La Estrella,14.8,Viernes,20,0,0,0,bajo,Bus
Exposiciones,Acevedo,9.7,Martes,20,0,0,1,medio,Taxi
Suramericana,Poblado,13.1,Jueves,2,0,0,1,alto,Taxi
Acevedo,Tricentenario,16.5,Jueves,1,0,0,0,alto,Taxi
Floresta,Hospital,11.8,Viernes,23,0,0,0,bajo,Bus
Estadio,San Javier,2.2,Miercoles,12,1,0,1,medio,Taxi
Estadio,Bello,12.4,Sabado,8,1,1,0,bajo,Bus
Bello,Industriales,7.4,Miercoles,2,0,0,0,alto,Metro
Poblado,Estadio,19.2,Miercoles,11,1,0,0,bajo,Bus
Alpujarra,Industriales,14.9,Miercoles,11,1,0,0,alto,Metro
Aguacatala,San Javier,2.8,Miercoles,22,0,0,0,medio,Bus
Alpujarra,Envigado,6.2,Martes,16,0,0,0,medio,Taxi
Envigado,Bello,2.3,Viernes,3,0,0,1,alto,Taxi
Envigado,Niquia,4.3,Viernes,16,0,0,1,medio,Taxi
Caribe,Exposiciones,6.7,Domingo,8,1,1,0,medio,Bus
San Javier,Tricentenario,2.7,Domingo,8,1,1,1,alto,Taxi
Itagui,Bello,17.1,Jueves,1,0,0,1,alto,Taxi
Poblado,Sabaneta,5.5,Domingo,6,1,1,0,bajo,Bus
Exposiciones,Industriales,6.3,Martes,12,1,0,0,bajo,Bus
Industriales,Estadio,18.2,Miercoles,4,0,0,0,bajo,Bus
Bello,Exposiciones,17.0,Lunes,5,0,0,0,bajo,Bus
Envigado,Suramericana,15.2,Domingo,8,1,1,0,bajo,Bus
Suramericana,San Antonio,16.9,Martes,15,0,0,1,medio,Taxi
Ayura,Acevedo,6.3,Jueves,17,1,0,1,medio,Taxi
San Javier,Industriales,7.9,Lunes,10,0,0,0,alto,Bus
Aguacatala,Floresta,13.3,Viernes,5,0,0,0,alto,Bus
Niquia,Tricentenario,13.3,Viernes,18,1,0,0,medio,Bus
Hospital,Ayura,12.3,Miercoles,22,0,0,0,medio,Taxi
Bello,Acevedo,10.0,Sabado,5,0,1,0,alto,Bus
Floresta,Aguacatala,5.3,Jueves,23,0,0,0,medio,Metro
Floresta,Aguacatala,19.4,Domingo,16,0,1,0,bajo,Bus
San Antonio,Hospital,17.9,Miercoles,6,1,0,1,medio,Taxi
Hospital,Madera,16.8,Viernes,16,0,0,1,bajo,Taxi
Hospital,Madera,2.5,Domingo,23,0,1,1,medio,Taxi
San Javier,Prado,13.1,Martes,10,0,0,1,bajo,Taxi
Madera,Ayura,1.5,Lunes,15,0,0,1,medio,Taxi
Alpujarra,Caribe,18.6,Sabado,15,0,1,0,medio,Bus
Sabaneta,Santa Lucia,16.6,Lunes,17,1,0,0,bajo,Bus
Industriales,San Javier,18.5,Lunes,0,0,0,0,bajo,Bus
Envigado,Caribe,5.7,Martes,22,0,0,1,bajo,Taxi
Envigado,Caribe,1.5,Sabado,16,0,1,1,medio,Taxi
Tricentenario,La Estrella,4.3,Martes,21,0,0,1,medio,Taxi
Parque Berrio,Sabaneta,5.8,Domingo,23,0,1,1,bajo,Taxi
Niquia,La Estrella,10.8,Jueves,23,0,0,1,alto,Taxi
Estadio,Aguacatala,13.5,Domingo,23,0,1,1,alto,Taxi
Exposiciones,Cisneros,18.0,Sabado,17,1,1,0,medio,Bus
Santa Lucia,Caribe,12.4,Miercoles,13,1,0,0,medio,Taxi
Aguacatala,Bello,16.0,Lunes,14,1,0,0,alto,Metro
San Javier,Sabaneta,3.0,Viernes,13,1,0,0,bajo,Metro
Acevedo,Exposiciones,17.1,Sabado,3,0,1,0,bajo,Bus
Parque Berrio,Universidad,3.2,Jueves,11,1,0,0,medio,Metro
Alpujarra,Santa Lucia,2.8,Martes,7,1,0,0,alto,Bus
Santa Lucia,Exposiciones,1.4,Miercoles,9,0,0,0,alto,Caminando
Caribe,San Javier,3.8,Viernes,17,1,0,0,bajo,Bus
Exposiciones,San Antonio,4.2,Domingo,12,1,1,1,alto,Taxi
Madera,La Estrella,11.7,Miercoles,5,0,0,0,bajo,Bus
Parque Berrio,Caribe,9.3,Sabado,4,0,1,1,medio,Taxi
Hospital,Prado,8.0,Miercoles,13,1,0,1,medio,Taxi
San Antonio,Caribe,13.1,Sabado,19,1,1,1,alto,Taxi
Estadio,Madera,9.5,Miercoles,5,0,0,1,bajo,Taxi
Alpujarra,Aguacatala,12.5,Sabado,10,0,1,1,alto,Taxi
San Antonio,San Javier,11.4,Domingo,19,1,1,0,alto,Bus
Santa Lucia,La Estrella,10.0,Sabado,10,0,1,0,medio,Bus
Universidad,Madera,8.6,Lunes,7,1,0,1,bajo,Taxi
San Javier,Niquia,8.7,Sabado,10,0,1,0,alto,Metro
Alpujarra,San Javier,18.9,Viernes,7,1,0,0,bajo,Bus
Caribe,Exposiciones,15.5,Martes,10,0,0,0,bajo,Bus
Acevedo,Bello,6.8,Jueves,9,0,0,0,medio,Bus
Hospital,Aguacatala,13.8,Miercoles,16,0,0,0,bajo,Bus
Tricentenario,Cisneros,18.5,Domingo,21,0,1,0,alto,Taxi
Ayura,La Estrella,4.8,Martes,16,0,0,0,bajo,Bus
Poblado,Niquia,2.9,Viernes,23,0,0,0,medio,Metro
Tricentenario,San Javier,12.8,Viernes,9,0,0,0,alto,Bus
Suramericana,Itagui,6.0,Domingo,4,0,1,1,bajo,Taxi
Niquia,Floresta,16.0,Lunes,19,1,0,1,medio,Taxi
Bello,Universidad,8.9,Jueves,8,1,0,0,bajo,Bus
Parque Berrio,Floresta,4.7,Domingo,17,1,1,0,bajo,Bus
San Javier,Bello,12.1,Domingo,13,1,1,0,bajo,Bus
Poblado,Universidad,4.6,Domingo,18,1,1,0,bajo,Bus
Acevedo,Prado,16.7,Miercoles,2,0,0,1,bajo,Taxi
Floresta,Exposiciones,8.2,Domingo,14,1,1,1,bajo,Taxi
Universidad,La Estrella,2.0,Sabado,2,0,1,1,alto,Taxi
Estadio,Prado,1.6,Jueves,7,1,0,0,medio,Caminando
Suramericana,San Javier,8.6,Viernes,8,1,0,1,alto,Taxi
Estadio,Santa Lucia,19.1,Martes,17,1,0,1,medio,Taxi
Estadio,Bello,19.4,Domingo,16,0,1,0,alto,Bus
Exposiciones,San Antonio,19.1,Sabado,6,1,1,0,medio,Bus
Floresta,Caribe,7.2,Domingo,23,0,1,1,alto,Taxi
Hospital,Santa Lucia,18.4,Lunes,3,0,0,1,alto,Taxi
Santa Lucia,Prado,6.5,Sabado,7,1,1,1,alto,Taxi
Universidad,Santa Lucia,6.9,Miercoles,2,0,0,0,alto,Metro
Alpujarra,Cisneros,5.2,Jueves,17,1,0,0,alto,Bus
Alpujarra,Prado,16.5,Lunes,3,0,0,0,bajo,Bus
Alpujarra,Caribe,4.3,Viernes,9,0,0,0,alto,Metro
Niquia,Suramericana,10.7,Sabado,14,1,1,0,medio,Metro
Cisneros,Parque Berrio,5.6,Lunes,5,0,0,0,alto,Metro
Universidad,Caribe,6.3,Miercoles,15,0,0,0,medio,Bus
Floresta,Itagui,2.0,Viernes,18,1,0,1,medio,Taxi
Caribe,Tricentenario,15.6,Jueves,10,0,0,1,alto,Taxi
Floresta,Alpujarra,14.3,Martes,9,0,0,0,bajo,Bus
Alpujarra,Envigado,14.7,Miercoles,13,1,0,0,alto,Metro
La Estrella,Ayura,7.8,Domingo,5,0,1,1,medio,Taxi
Caribe,Poblado,15.8,Domingo,13,1,1,1,medio,Taxi
Bello,Alpujarra,13.3,Jueves,2,0,0,1,bajo,Taxi
Ayura,Itagui,4.8,Sabado,8,1,1,1,alto,Taxi
Estadio,Sabaneta,2.1,Martes,4,0,0,1,medio,Taxi
Exposiciones,San Antonio,3.2,Jueves,12,1,0,0,alto,Taxi
Caribe,Poblado,2.6,Miercoles,17,1,0,1,alto,Taxi
Acevedo,Sabaneta,13.6,Domingo,10,0,1,0,medio,Taxi
Sabaneta,Acevedo,3.2,Jueves,4,0,0,0,medio,Metro
San Antonio,Hospital,4.6,Domingo,9,0,1,0,bajo,Bus
Suramericana,Estadio,2.1,Domingo,18,1,1,0,medio,Bus
Envigado,Caribe,17.4,Domingo,19,1,1,1,medio,Taxi
Parque Berrio,Madera,18.7,Domingo,3,0,1,1,alto,Taxi
La Estrella,Bello,14.5,Lunes,23,0,0,0,medio,Taxi
Bello,Floresta,9.6,Domingo,13,1,1,0,bajo,Bus
Envigado,Poblado,4.9,Lunes,16,0,0,1,alto,Taxi
Poblado,La Estrella,8.1,Domingo,1,0,1,1,bajo,Taxi
Madera,Poblado,1.1,Lunes,19,1,0,1,alto,Taxi
Ayura,Floresta,3.1,Martes,0,0,0,0,medio,Taxi
Sabaneta,Santa Lucia,4.4,Sabado,23,0,1,1,alto,Taxi
Niquia,Envigado,6.0,Jueves,11,1,0,0,medio,Bus
Tricentenario,Poblado,11.7,Martes,13,1,0,1,alto,Taxi
Cisneros,Prado,12.9,Viernes,8,1,0,1,alto,Taxi
Poblado,Industriales,8.8,Sabado,4,0,1,1,alto,Taxi
Prado,Bello,8.8,Viernes,10,0,0,0,bajo,Bus
Bello,San Antonio,6.1,Martes,15,0,0,1,bajo,Taxi
Bello,Niquia,5.3,Martes,2,0,0,0,bajo,Bus
Bello,Parque Berrio,8.7,Sabado,23,0,1,1,medio,Taxi
Hospital,Madera,19.5,Domingo,16,0,1,0,medio,Bus
Madera,Prado,3.3,Lunes,19,1,0,0,bajo,Bus
Cisneros,Poblado,6.4,Domingo,17,1,1,0,bajo,Bus
Ayura,Exposiciones,17.7,Domingo,15,0,1,0,bajo,Bus
Industriales,Ayura,9.4,Lunes,15,0,0,1,bajo,Taxi
Prado,Suramericana,5.9,Viernes,16,0,0,0,bajo,Bus
Parque Berrio,Prado,20.0,Lunes,13,1,0,0,medio,Metro
Madera,Itagui,12.6,Martes,21,0,0,0,alto,Metro
La Estrella,Industriales,5.3,Domingo,19,1,1,1,medio,Taxi
Itagui,Alpujarra,17.5,Sabado,15,0,1,0,bajo,Bus
Sabaneta,Industriales,2.8,Lunes,3,0,0,0,bajo,Metro
Aguacatala,San Javier,19.4,Martes,23,0,0,1,medio,Taxi
Tricentenario,Aguacatala,13.1,Domingo,3,0,1,1,medio,Taxi
Suramericana,Hospital,2.6,Jueves,9,0,0,1,alto,Taxi
Ayura,Industriales,1.1,Sabado,7,1,1,1,bajo,Taxi
Acevedo,Parque Berrio,9.3,Martes,16,0,0,0,medio,Metro
San Javier,Industriales,14.0,Martes,16,0,0,1,alto,Taxi
Sabaneta,Industriales,4.5,Domingo,14,1,1,1,medio,Taxi
Estadio,Alpujarra,1.4,Lunes,2,0,0,0,medio,Caminando
San Antonio,Acevedo,10.1,Miercoles,23,0,0,0,bajo,Bus
Niquia,Prado,7.3,Domingo,15,0,1,1,medio,Taxi
Ayura,Suramericana,12.2,Sabado,21,0,1,1,medio,Taxi
Aguacatala,Floresta,4.5,Viernes,17,1,0,0,bajo,Bus
Itagui,Poblado,15.3,Miercoles,12,1,0,0,medio,Metro
Sabaneta,Suramericana,7.4,Sabado,13,1,1,0,bajo,Bus
Tricentenario,Parque Berrio,13.6,Miercoles,4,0,0,1,medio,Taxi
Ayura,Niquia,20.0,Viernes,2,0,0,1,medio,Taxi
Tricentenario,Alpujarra,19.0,Jueves,18,1,0,1,medio,Taxi
Floresta,Exposiciones,13.8,Domingo,5,0,1,1,bajo,Taxi
Madera,San Antonio,17.8,Sabado,22,0,1,0,bajo,Bus
Caribe,Prado,5.0,Sabado,13,1,1,0,medio,Metro
Poblado,Madera,6.3,Miercoles,12,1,0,0,bajo,Bus
Industriales,Prado,14.8,Viernes,19,1,0,1,bajo,Taxi
Tricentenario,San Antonio,15.2,Sabado,2,0,1,1,medio,Taxi
Sabaneta,San Antonio,18.3,Viernes,13,1,0,0,bajo,Bus
Ayura,Cisneros,16.3,Domingo,3,0,1,1,medio,Taxi
Bello,Hospital,10.0,Viernes,3,0,0,0,bajo,Bus
Sabaneta,Acevedo,1.4,Domingo,8,1,1,1,bajo,Taxi
San Javier,San Antonio,11.0,Miercoles,0,0,0,1,alto,Taxi
Aguacatala,Parque Berrio,19.4,Jueves,18,1,0,0,alto,Metro
Floresta,Bello,5.9,Martes,22,0,0,1,medio,Taxi
Exposiciones,Industriales,11.7,Jueves,5,0,0,0,alto,Metro
Aguacatala,San Antonio,18.6,Domingo,22,0,1,1,alto,Taxi
Acevedo,San Antonio,6.8,Miercoles,2,0,0,0,medio,Bus
Prado,Sabaneta,15.1,Viernes,23,0,0,1,bajo,Taxi
Universidad,Poblado,9.7,Domingo,2,0,1,0,medio,Bus
Niquia,Universidad,13.2,Domingo,19,1,1,0,medio,Bus
Madera,Tricentenario,6.1,Domingo,14,1,1,1,alto,Taxi
Santa Lucia,Cisneros,5.9,Viernes,19,1,0,1,medio,Taxi
Hospital,Estadio,17.0,Miercoles,12,1,0,0,medio,Metro
Niquia,Acevedo,12.0,Jueves,1,0,0,1,medio,Taxi
Santa Lucia,Parque Berrio,4.3,Viernes,3,0,0,1,alto,Taxi
Hospital,Madera,6.4,Lunes,4,0,0,1,medio,Taxi
Caribe,Madera,8.0,Viernes,15,0,0,1,bajo,Taxi
Tricentenario,Estadio,6.9,Viernes,15,0,0,1,bajo,Taxi
Niquia,Estadio,2.2,Jueves,12,1,0,1,alto,Taxi
Envigado,Exposiciones,2.8,Sabado,17,1,1,1,bajo,Taxi
Sabaneta,Industriales,15.1,Jueves,20,0,0,0,alto,Taxi
Exposiciones,Aguacatala,1.6,Jueves,0,0,0,0,bajo,Caminando
Bello,Hospital,4.4,Jueves,19,1,0,1,medio,Taxi
Madera,Bello,12.1,Miercoles,17,1,0,0,alto,Metro
Acevedo,Santa Lucia,7.0,Jueves,9,0,0,1,bajo,Taxi
Industriales,Sabaneta,2.9,Sabado,10,0,1,1,medio,Taxi
Universidad,La Estrella,19.5,Domingo,18,1,1,1,medio,Taxi
Sabaneta,San Javier,2.8,Domingo,18,1,1,1,bajo,Taxi
Acevedo,Sabaneta,5.7,Martes,18,1,0,1,alto,Taxi
Itagui,Bello,6.1,Lunes,5,0,0,0,bajo,Bus
Itagui,Santa Lucia,17.9,Lunes,18,1,0,1,bajo,Taxi
Aguacatala,Industriales,15.0,Sabado,2,0,1,0,bajo,Bus
Cisneros,Bello,13.5,Viernes,23,0,0,0,bajo,Bus
La Estrella,Niquia,4.1,Martes,21,0,0,1,medio,Taxi
Exposiciones,Aguacatala,9.8,Viernes,7,1,0,0,bajo,Bus
Parque Berrio,Santa Lucia,1.6,Miercoles,8,1,0,1,bajo,Taxi
Ayura,Exposiciones,12.9,Martes,8,1,0,0,bajo,Bus
Madera,Ayura,2.5,Miercoles,23,0,0,0,medio,Bus
Floresta,La Estrella,6.8,Martes,16,0,0,1,alto,Taxi
Acevedo,Alpujarra,8.6,Lunes,8,1,0,0,alto,Bus
Sabaneta,Prado,7.6,Martes,19,1,0,0,medio,Bus
Madera,Prado,14.2,Sabado,9,0,1,1,medio,Taxi
Acevedo,Parque Berrio,18.7,Martes,5,0,0,0,alto,Taxi
Universidad,Ayura,3.8,Viernes,17,1,0,1,medio,Taxi
Industriales,Alpujarra,10.6,Lunes,23,0,0,0,bajo,Bus
Poblado,Suramericana,1.9,Domingo,23,0,1,1,alto,Taxi
Universidad,Industriales,16.4,Martes,21,0,0,1,alto,Taxi
Niquia,Universidad,8.6,Miercoles,20,0,0,1,alto,Taxi
Alpujarra,Bello,2.4,Jueves,18,1,0,0,bajo,Bus
Acevedo,La Estrella,5.6,Miercoles,14,1,0,1,bajo,Taxi
Floresta,Prado,10.1,Viernes,16,0,0,0,alto,Taxi
San Javier,Exposiciones,3.7,Domingo,2,0,1,0,alto,Bus
Madera,Industriales,3.1,Sabado,12,1,1,0,medio,Metro
Itagui,Bello,7.7,Viernes,16,0,0,1,alto,Taxi
Universidad,Tricentenario,14.0,Domingo,17,1,1,0,medio,Bus
Caribe,Sabaneta,7.8,Domingo,17,1,1,0,alto,Bus
Sabaneta,Ayura,1.3,Viernes,5,0,0,0,alto,Bus
Cisneros,Floresta,17.3,Sabado,19,1,1,0,alto,Bus
Madera,Floresta,11.7,Viernes,4,0,0,1,bajo,Taxi
Hospital,Aguacatala,12.5,Lunes,6,1,0,1,alto,Taxi
Universidad,Santa Lucia,19.2,Lunes,7,1,0,1,alto,Taxi
Aguacatala,Santa Lucia,9.9,Jueves,5,0,0,0,bajo,Bus
Parque Berrio,Exposiciones,16.7,Domingo,18,1,1,0,bajo,Bus
Exposiciones,Madera,6.0,Martes,15,0,0,1,alto,Taxi
Aguacatala,Suramericana,11.4,Viernes,9,0,0,1,medio,Taxi
Poblado,Floresta,15.1,Viernes,22,0,0,0,medio,Metro
Alpujarra,Itagui,12.6,Sabado,22,0,1,1,bajo,Taxi
Floresta,Parque Berrio,4.4,Domingo,13,1,1,1,bajo,Taxi
San Javier,Suramericana,10.4,Viernes,18,1,0,1,alto,Taxi
Alpujarra,Estadio,13.6,Domingo,7,1,1,0,bajo,Bus
Itagui,Sabaneta,14.6,Lunes,21,0,0,1,medio,Taxi
Itagui,La Estrella,19.3,Miercoles,21,0,0,1,alto,Taxi
Universidad,Ayura,15.2,Viernes,22,0,0,1,bajo,Taxi
Prado,Envigado,1.4,Viernes,11,1,0,0,alto,Caminando
Sabaneta,Industriales,6.4,Martes,10,0,0,0,alto,Bus
Cisneros,Ayura,4.7,Martes,2,0,0,1,medio,Taxi
Tricentenario,Niquia,17.5,Jueves,18,1,0,0,alto,Metro
Industriales,Madera,13.7,Domingo,9,0,1,0,alto,Taxi
Suramericana,Floresta,2.6,Domingo,2,0,1,1,alto,Taxi
Santa Lucia,Ayura,14.2,Lunes,8,1,0,1,alto,Taxi
Suramericana,Cisneros,17.1,Martes,23,0,0,0,alto,Metro
Bello,Madera,5.6,Jueves,15,0,0,1,bajo,Taxi
Cisneros,Parque Berrio,8.6,Jueves,5,0,0,0,alto,Metro
Industriales,Caribe,5.2,Domingo,8,1,1,0,medio,Bus
Envigado,Cisneros,10.2,Jueves,10,0,0,0,medio,Metro
Aguacatala,Poblado,13.9,Lunes,6,1,0,0,medio,Metro
Hospital,Acevedo,10.8,Martes,11,1,0,1,medio,Taxi
Alpujarra,Madera,13.2,Viernes,7,1,0,1,bajo,Taxi
San Javier,Aguacatala,10.7,Martes,14,1,0,1,medio,Taxi
Sabaneta,Prado,5.1,Martes,22,0,0,0,bajo,Bus
Prado,Bello,19.5,Domingo,21,0,1,0,alto,Metro
Santa Lucia,Floresta,7.7,Jueves,18,1,0,1,alto,Taxi
Ayura,Hospital,1.3,Lunes,12,1,0,1,alto,Taxi
Industriales,Sabaneta,5.0,Martes,14,1,0,1,alto,Taxi
Cisneros,Exposiciones,16.2,Viernes,8,1,0,0,bajo,Bus
