origen,destino,tipo_transporte,distancia_km,dia_semana,hora,es_hora_pico,es_finde_semana,tiempo_viaje_min,costo,transferencias,fecha,clima
Cisneros,Prado,Metro,9.9,Jueves,10,0,0,9.2,3200,0,2025-01-02,Tormenta
Envigado,Niquia,Metro,8.6,Sabado,22,0,1,7.3,3200,1,2025-02-08,Nublado
Bello,San Antonio,Taxi,10.5,Martes,11,1,0,89.3,14280,0,2025-01-21,Tormenta
Sabaneta,Estadio,Bus,13.3,Viernes,5,0,0,18.0,2800,0,2025-05-02,Tormenta
Suramericana,San Javier,Bus,6.4,Sabado,5,0,1,6.1,2800,1,2025-05-17,Tormenta
Alpujarra,Parque Berrio,Bus,6.6,Viernes,0,0,0,10.3,2800,0,2025-04-25,Lluvia
La Estrella,Ayura,Cable,14.1,Domingo,17,1,1,42.3,0,1,2025-12-14,Lluvia
Bello,Tricentenario,Caminando,7.1,Lunes,11,1,0,45.9,0,0,2025-08-11,Nublado
Prado,Bello,Cable,6.1,Miercoles,16,0,0,17.0,0,0,2025-01-01,Lluvia
San Javier,Acevedo,Taxi,5.6,Miercoles,9,0,0,32.2,7980,1,2025-09-17,Tormenta
San Javier,Estadio,Bus,6.7,Miercoles,18,1,0,20.4,3360,1,2025-11-12,Lluvia
Poblado,Aguacatala,Cable,12.1,Viernes,6,1,0,77.4,0,0,2025-12-12,Lluvia
Ayura,Santa Lucia,Caminando,10.4,Sabado,2,0,1,22.1,0,1,2025-06-21,Nublado
Aguacatala,La Estrella,Metro,11.1,Viernes,13,1,0,16.5,3840,1,2025-08-22,Soleado
Estadio,Suramericana,Metro,12.3,Miercoles,7,1,0,21.2,3840,0,2025-08-06,Soleado
Poblado,Tricentenario,Cable,14.3,Lunes,16,0,0,59.4,0,0,2025-12-08,Tormenta
Cisneros,Envigado,Cable,7.3,Domingo,23,0,1,20.0,0,1,2025-03-23,Tormenta
La Estrella,Hospital,Taxi,4.3,Jueves,2,0,0,20.8,6940,1,2025-08-14,Nublado
Hospital,Industriales,Bus,6.8,Domingo,6,1,1,11.5,3360,1,2025-12-28,Tormenta
Exposiciones,Suramericana,Caminando,7.7,Martes,0,0,0,32.6,0,0,2025-12-23,Tormenta
Envigado,Estadio,Caminando,4.1,Miercoles,7,1,0,38.3,0,0,2025-11-05,Tormenta
Floresta,Caribe,Cable,13.7,Viernes,19,1,0,75.1,0,1,2025-03-07,Tormenta
Tricentenario,Aguacatala,Bus,5.6,Domingo,8,1,1,10.1,3360,0,2025-01-26,Lluvia
Estadio,Industriales,Taxi,11.5,Martes,15,0,0,47.5,12700,1,2025-02-11,Soleado
Estadio,La Estrella,Metro,12.7,Jueves,7,1,0,21.2,3840,0,2025-01-16,Soleado
Itagui,Universidad,Cable,3.3,Jueves,8,1,0,18.2,0,1,2025-12-25,Nublado
Parque Berrio,Acevedo,Caminando,6.6,Martes,9,0,0,25.5,0,0,2025-01-14,Nublado
Acevedo,Floresta,Taxi,12.1,Miercoles,19,1,0,199.8,15816,0,2025-12-17,Soleado
Ayura,San Javier,Taxi,2.5,Martes,13,1,0,24.0,6600,0,2025-01-07,Nublado
Industriales,Caribe,Caminando,7.5,Domingo,8,1,1,31.8,0,0,2025-11-30,Nublado
Cisneros,Madera,Taxi,9.0,Martes,7,1,0,76.6,12840,0,2025-08-19,Lluvia
Caribe,Ayura,Bus,4.9,Martes,8,1,0,13.5,3360,0,2025-07-01,Nublado
Madera,Prado,Cable,10.7,Lunes,17,1,0,60.1,0,0,2025-09-08,Soleado
Parque Berrio,Hospital,Cable,10.3,Domingo,7,1,1,35.5,0,0,2025-12-21,Lluvia
Alpujarra,Floresta,Cable,4.2,Lunes,9,0,0,16.2,0,0,2025-05-19,Nublado
Universidad,Hospital,Cable,14.7,Jueves,23,0,0,59.6,0,0,2025-05-22,Lluvia
Niquia,Floresta,Caminando,14.6,Jueves,8,1,0,78.6,0,1,2025-03-06,Tormenta
Acevedo,Niquia,Caminando,7.2,Lunes,15,0,0,21.4,0,0,2025-05-26,Tormenta
Acevedo,Madera,Cable,3.1,Martes,2,0,0,12.5,0,1,2025-09-09,Nublado
Acevedo,Itagui,Cable,11.9,Viernes,19,1,0,58.9,0,1,2025-11-07,Tormenta
Parque Berrio,Sabaneta,Caminando,14.3,Viernes,19,1,0,64.6,0,0,2025-01-31,Nublado
Hospital,Caribe,Caminando,6.7,Sabado,5,0,1,17.9,0,1,2025-02-08,Lluvia
Santa Lucia,Parque Berrio,Cable,13.9,Jueves,21,0,0,55.3,0,0,2025-02-06,Nublado
Industriales,Acevedo,Caminando,13.7,Sabado,20,0,1,38.8,0,1,2025-04-26,Lluvia
Sabaneta,Estadio,Caminando,7.6,Miercoles,14,1,0,36.2,0,1,2025-05-28,Tormenta
Poblado,Madera,Caminando,9.5,Martes,13,1,0,38.6,0,0,2025-01-21,Soleado
Estadio,San Javier,Taxi,7.6,Jueves,1,0,0,42.8,9580,1,2025-10-23,Tormenta
La Estrella,Aguacatala,Metro,5.7,Viernes,11,1,0,9.7,3840,0,2025-08-29,Tormenta
Parque Berrio,Santa Lucia,Cable,2.2,Jueves,1,0,0,6.8,0,0,2025-10-09,Soleado
San Javier,Envigado,Cable,8.3,Jueves,1,0,0,30.7,0,0,2025-07-31,Soleado
Universidad,Parque Berrio,Caminando,13.3,Domingo,9,0,1,68.9,0,0,2025-03-09,Nublado
Parque Berrio,Itagui,Metro,4.1,Viernes,13,1,0,7.5,3840,0,2025-10-10,Nublado
Aguacatala,Floresta,Taxi,6.8,Jueves,22,0,0,35.4,8940,0,2025-09-18,Nublado
Exposiciones,Universidad,Caminando,13.1,Jueves,23,0,0,41.0,0,0,2025-09-18,Lluvia
Cisneros,Niquia,Taxi,13.1,Lunes,18,1,0,100.5,16776,0,2025-06-02,Tormenta
Poblado,San Antonio,Bus,4.3,Miercoles,7,1,0,28.7,3360,0,2025-12-24,Tormenta
Exposiciones,Santa Lucia,Bus,8.0,Jueves,1,0,0,14.6,2800,0,2025-09-11,Tormenta
Acevedo,Envigado,Cable,6.7,Miercoles,23,0,0,25.2,0,0,2025-01-08,Lluvia
San Antonio,La Estrella,Cable,12.9,Sabado,2,0,1,37.0,0,0,2025-11-29,Tormenta
Envigado,Bello,Caminando,15.0,Miercoles,7,1,0,88.0,0,1,2025-02-05,Soleado
Poblado,Caribe,Taxi,12.1,Miercoles,1,0,0,57.3,13180,1,2025-01-15,Tormenta
Itagui,Santa Lucia,Bus,9.5,Sabado,5,0,1,11.0,2800,0,2025-03-29,Nublado
Hospital,Aguacatala,Taxi,13.6,Domingo,8,1,1,73.7,17256,0,2025-08-24,Soleado
Poblado,Alpujarra,Caminando,10.7,Martes,20,0,0,36.7,0,0,2025-06-03,Tormenta
Acevedo,Prado,Cable,14.9,Lunes,11,1,0,70.6,0,0,2025-10-20,Lluvia
Niquia,Sabaneta,Metro,12.7,Viernes,23,0,0,15.9,3200,1,2025-11-07,Lluvia
Hospital,San Javier,Bus,9.8,Viernes,8,1,0,30.7,3360,0,2025-11-14,Tormenta
Bello,Sabaneta,Taxi,5.6,Domingo,2,0,1,19.8,7980,0,2025-03-09,Lluvia
Ayura,Envigado,Taxi,14.5,Miercoles,8,1,0,103.0,18120,0,2025-03-26,Tormenta
Madera,Caribe,Bus,14.5,Sabado,23,0,1,20.3,2800,0,2025-12-13,Soleado
Prado,Itagui,Metro,9.2,Jueves,11,1,0,16.7,3840,1,2025-08-21,Nublado
Aguacatala,Niquia,Caminando,10.1,Miercoles,10,0,0,37.6,0,0,2025-10-15,Tormenta
Acevedo,Caribe,Metro,2.6,Lunes,9,0,0,2.4,3200,0,2025-01-20,Lluvia
San Javier,Estadio,Caminando,13.4,Domingo,18,1,1,52.9,0,0,2025-08-03,Lluvia
Bello,Floresta,Taxi,14.3,Martes,14,1,0,131.7,17928,0,2025-04-22,Lluvia
Bello,Industriales,Taxi,2.3,Martes,3,0,0,10.4,5340,0,2025-04-08,Soleado
Suramericana,San Antonio,Bus,2.0,Jueves,18,1,0,5.9,3360,1,2025-03-06,Nublado
San Antonio,Suramericana,Bus,13.0,Domingo,0,0,1,13.2,2800,1,2025-11-02,Nublado
Acevedo,Santa Lucia,Metro,12.1,Domingo,0,0,1,7.8,3200,1,2025-03-09,Soleado
Tricentenario,Estadio,Cable,7.7,Sabado,3,0,1,21.4,0,1,2025-09-27,Nublado
Sabaneta,Bello,Caminando,1.9,Miercoles,14,1,0,9.9,0,0,2025-06-04,Tormenta
Santa Lucia,Poblado,Metro,1.9,Martes,10,0,0,1.8,3200,0,2025-02-11,Lluvia
Exposiciones,La Estrella,Caminando,2.4,Sabado,14,1,1,9.7,0,0,2025-05-31,Nublado
Industriales,Aguacatala,Bus,6.6,Jueves,10,0,0,12.8,2800,0,2025-07-31,Lluvia
Alpujarra,Tricentenario,Cable,2.3,Martes,2,0,0,6.5,0,0,2025-02-04,Soleado
Itagui,Envigado,Caminando,6.8,Miercoles,21,0,0,28.0,0,0,2025-06-18,Soleado
Parque Berrio,La Estrella,Taxi,3.2,Lunes,3,0,0,16.7,6060,0,2025-06-30,Lluvia
Acevedo,Suramericana,Taxi,12.8,Martes,7,1,0,123.6,16488,0,2025-10-21,Soleado
Sabaneta,Santa Lucia,Taxi,10.8,Miercoles,5,0,0,51.5,12140,1,2025-01-15,Nublado
Itagui,Santa Lucia,Cable,2.3,Miercoles,4,0,0,8.2,0,0,2025-02-05,Nublado
Alpujarra,Parque Berrio,Taxi,13.4,Sabado,19,1,1,61.8,17064,1,2025-10-18,Soleado
Prado,Aguacatala,Cable,6.8,Sabado,19,1,1,21.6,0,0,2025-09-06,Soleado
Parque Berrio,Santa Lucia,Caminando,1.6,Domingo,16,0,1,3.7,0,1,2025-09-07,Lluvia
Universidad,Suramericana,Bus,2.7,Domingo,9,0,1,3.3,2800,1,2025-05-11,Nublado
Ayura,Itagui,Taxi,7.1,Jueves,12,1,0,54.8,11016,0,2025-02-06,Tormenta
Itagui,Exposiciones,Cable,1.3,Jueves,3,0,0,4.2,0,0,2025-05-29,Lluvia
Madera,Poblado,Metro,8.3,Lunes,13,1,0,12.4,3840,0,2025-05-05,Lluvia
Estadio,Caribe,Metro,8.4,Viernes,20,0,0,7.5,3200,0,2025-09-19,Nublado
Hospital,Acevedo,Bus,9.4,Lunes,6,1,0,27.7,3360,1,2025-05-12,Tormenta
Poblado,Suramericana,Caminando,13.1,Viernes,14,1,0,72.9,0,1,2025-10-24,Tormenta
La Estrella,Parque Berrio,Taxi,8.1,Jueves,1,0,0,38.7,9980,1,2025-10-30,Lluvia
Madera,San Javier,Metro,7.5,Martes,19,1,0,12.1,3840,0,2025-11-11,Tormenta
Suramericana,Itagui,Bus,8.0,Sabado,19,1,1,17.9,3360,0,2025-06-14,Lluvia
Santa Lucia,Madera,Caminando,4.5,Jueves,5,0,0,15.3,0,0,2025-11-27,Nublado
Alpujarra,Exposiciones,Taxi,10.5,Viernes,13,1,0,65.1,14280,0,2025-07-18,Lluvia
Acevedo,Itagui,Cable,5.7,Lunes,8,1,0,31.1,0,0,2025-05-26,Tormenta
Tricentenario,La Estrella,Metro,10.0,Domingo,17,1,1,10.1,3840,0,2025-06-08,Soleado
La Estrella,Santa Lucia,Cable,6.1,Jueves,11,1,0,27.1,0,0,2025-09-18,Tormenta
Universidad,Prado,Bus,12.8,Viernes,2,0,0,18.1,2800,0,2025-03-21,Soleado
San Javier,San Antonio,Caminando,3.2,Domingo,19,1,1,10.0,0,0,2025-03-09,Nublado
Floresta,Poblado,Metro,14.6,Miercoles,11,1,0,24.2,3840,0,2025-07-30,Nublado
Envigado,Hospital,Taxi,10.5,Viernes,6,1,0,85.5,14280,0,2025-08-29,Tormenta
Ayura,Envigado,Cable,13.2,Lunes,6,1,0,54.5,0,0,2025-03-24,Soleado
Santa Lucia,Ayura,Metro,4.8,Lunes,2,0,0,6.0,3200,0,2025-05-26,Nublado
Cisneros,Poblado,Taxi,6.6,Martes,13,1,0,48.9,10536,1,2025-01-14,Nublado
Niquia,Alpujarra,Metro,2.9,Sabado,10,0,1,1.9,3200,0,2025-11-29,Nublado
Estadio,Santa Lucia,Cable,13.7,Lunes,19,1,0,55.5,0,1,2025-08-18,Tormenta
Acevedo,Suramericana,Taxi,1.7,Viernes,9,0,0,8.6,4860,0,2025-05-02,Soleado
Cisneros,Aguacatala,Caminando,11.1,Jueves,0,0,0,64.8,0,0,2025-10-02,Nublado
San Javier,Santa Lucia,Metro,14.3,Viernes,11,1,0,23.0,3840,0,2025-09-26,Soleado
Exposiciones,Ayura,Metro,4.6,Sabado,12,1,1,3.9,3840,0,2025-11-22,Soleado
Estadio,Itagui,Taxi,8.6,Lunes,1,0,0,51.9,10380,0,2025-03-10,Tormenta
Santa Lucia,Aguacatala,Bus,1.5,Martes,2,0,0,2.3,2800,0,2025-03-11,Lluvia
Parque Berrio,Envigado,Cable,1.5,Lunes,15,0,0,5.6,0,0,2025-10-06,Soleado
La Estrella,San Antonio,Taxi,13.5,Miercoles,11,1,0,118.6,17160,0,2025-03-05,Nublado
Aguacatala,Floresta,Cable,12.2,Martes,16,0,0,47.3,0,0,2025-07-08,Nublado
Envigado,Parque Berrio,Taxi,10.3,Sabado,2,0,1,34.4,11740,0,2025-02-22,Tormenta
Alpujarra,Aguacatala,Metro,4.8,Lunes,19,1,0,9.3,3840,1,2025-06-30,Tormenta
Alpujarra,Envigado,Bus,1.5,Jueves,4,0,0,2.1,2800,0,2025-01-16,Tormenta
Itagui,Bello,Caminando,14.3,Jueves,21,0,0,47.0,0,0,2025-03-20,Lluvia
Exposiciones,San Antonio,Taxi,11.3,Jueves,3,0,0,59.3,12540,0,2025-05-08,Lluvia
Estadio,Prado,Cable,10.7,Domingo,19,1,1,48.7,0,1,2025-04-20,Soleado
Poblado,Caribe,Cable,10.3,Viernes,21,0,0,39.6,0,1,2025-02-14,Lluvia
Caribe,Floresta,Bus,2.7,Sabado,16,0,1,2.8,2800,0,2025-07-05,Soleado
Alpujarra,Itagui,Caminando,9.6,Martes,14,1,0,40.5,0,0,2025-07-08,Tormenta
Ayura,Industriales,Cable,14.6,Miercoles,2,0,0,54.6,0,0,2025-10-22,Lluvia
Tricentenario,Suramericana,Caminando,11.7,Lunes,18,1,0,50.6,0,0,2025-11-24,Soleado
Ayura,Tricentenario,Taxi,14.1,Miercoles,5,0,0,64.3,14780,0,2025-03-26,Lluvia
Madera,Parque Berrio,Bus,2.8,Sabado,17,1,1,4.7,3360,0,2025-11-22,Nublado
Itagui,Sabaneta,Bus,12.8,Sabado,21,0,1,16.2,2800,1,2025-03-29,Soleado
La Estrella,Suramericana,Caminando,11.7,Viernes,20,0,0,39.3,0,0,2025-05-16,Lluvia
La Estrella,Parque Berrio,Cable,5.2,Martes,21,0,0,14.5,0,0,2025-05-06,Tormenta
Poblado,Universidad,Taxi,13.1,Viernes,4,0,0,62.9,13980,0,2025-11-07,Tormenta
Tricentenario,Suramericana,Taxi,5.5,Domingo,17,1,1,29.8,9480,1,2025-09-21,Soleado
Bello,San Antonio,Cable,14.5,Miercoles,13,1,0,90.7,0,0,2025-11-12,Lluvia
Universidad,Suramericana,Bus,8.0,Sabado,16,0,1,21.8,2800,0,2025-09-13,Nublado
Universidad,Sabaneta,Taxi,7.9,Sabado,1,0,1,34.3,9820,0,2025-01-25,Soleado
Acevedo,Poblado,Bus,11.7,Viernes,23,0,0,19.2,2800,0,2025-05-16,Nublado
Alpujarra,Itagui,Taxi,11.7,Viernes,12,1,0,82.5,15432,0,2025-02-07,Soleado
Tricentenario,Acevedo,Cable,11.6,Viernes,10,0,0,34.8,0,0,2025-07-11,Soleado
Bello,Caribe,Taxi,3.1,Domingo,16,0,1,13.5,5980,0,2025-08-31,Lluvia
Caribe,Industriales,Caminando,8.1,Martes,18,1,0,42.7,0,0,2025-06-03,Tormenta
Cisneros,Niquia,Taxi,14.7,Jueves,21,0,0,80.3,15260,0,2025-06-19,Soleado
Sabaneta,Aguacatala,Taxi,11.1,Martes,18,1,0,90.9,14856,0,2025-12-02,Tormenta
Tricentenario,Santa Lucia,Bus,3.7,Viernes,18,1,0,9.4,3360,0,2025-01-17,Nublado
Industriales,Envigado,Caminando,10.9,Sabado,23,0,1,26.9,0,0,2025-08-30,Tormenta
Ayura,Exposiciones,Taxi,8.6,Domingo,14,1,1,51.4,12456,0,2025-03-30,Lluvia
Sabaneta,Aguacatala,Bus,4.1,Miercoles,8,1,0,13.2,3360,1,2025-05-07,Nublado
Santa Lucia,Floresta,Cable,8.8,Jueves,15,0,0,37.2,0,1,2025-06-12,Tormenta
Exposiciones,Alpujarra,Bus,14.4,Jueves,1,0,0,20.1,2800,0,2025-05-29,Tormenta
Universidad,Hospital,Caminando,2.9,Lunes,17,1,0,16.1,0,1,2025-05-19,Nublado
La Estrella,Hospital,Metro,11.0,Viernes,13,1,0,14.0,3840,1,2025-02-21,Nublado
Industriales,San Javier,Cable,11.6,Martes,20,0,0,36.5,0,1,2025-09-02,Soleado
La Estrella,Itagui,Bus,13.8,Miercoles,23,0,0,20.4,2800,1,2025-10-01,Soleado
Cisneros,Exposiciones,Cable,13.3,Domingo,23,0,1,25.0,0,1,2025-04-06,Lluvia
Parque Berrio,Aguacatala,Caminando,12.9,Viernes,15,0,0,44.5,0,1,2025-09-26,Nublado
Floresta,Poblado,Taxi,12.1,Domingo,0,0,1,45.9,13180,1,2025-04-06,Tormenta
Cisneros,Industriales,Caminando,10.4,Martes,2,0,0,30.9,0,0,2025-06-17,Nublado
Niquia,Parque Berrio,Cable,14.4,Jueves,14,1,0,68.5,0,1,2025-05-01,Lluvia
Santa Lucia,Hospital,Metro,5.3,Lunes,3,0,0,5.3,3200,0,2025-12-08,Lluvia
Santa Lucia,Acevedo,Taxi,4.1,Martes,19,1,0,26.7,8136,0,2025-07-08,Lluvia
Industriales,Floresta,Caminando,11.7,Sabado,17,1,1,46.7,0,0,2025-08-30,Tormenta
Ayura,Floresta,Taxi,1.9,Domingo,18,1,1,10.7,6024,0,2025-02-09,Nublado
Caribe,Alpujarra,Caminando,11.0,Viernes,3,0,0,38.3,0,0,2025-08-15,Soleado
Poblado,Tricentenario,Caminando,8.8,Viernes,14,1,0,50.0,0,1,2025-08-01,Lluvia
Cisneros,Niquia,Bus,6.9,Viernes,2,0,0,13.2,2800,1,2025-10-24,Soleado
Aguacatala,Bello,Taxi,11.7,Martes,5,0,0,75.4,12860,0,2025-07-29,Tormenta
Poblado,Exposiciones,Cable,10.1,Martes,21,0,0,32.8,0,0,2025-02-11,Nublado
Floresta,Hospital,Metro,10.4,Domingo,9,0,1,7.8,3200,0,2025-01-12,Nublado
Poblado,Alpujarra,Bus,1.5,Jueves,6,1,0,4.2,3360,0,2025-05-22,Soleado
Hospital,Universidad,Metro,7.3,Viernes,19,1,0,12.4,3840,1,2025-02-21,Soleado
Exposiciones,Aguacatala,Bus,3.0,Sabado,6,1,1,6.8,3360,0,2025-10-04,Lluvia
Itagui,La Estrella,Taxi,14.8,Viernes,9,0,0,78.5,15340,1,2025-05-02,Nublado
La Estrella,Santa Lucia,Cable,14.6,Domingo,15,0,1,43.3,0,0,2025-10-12,Lluvia
Santa Lucia,Industriales,Cable,3.6,Martes,9,0,0,12.8,0,1,2025-03-18,Nublado
Suramericana,Poblado,Metro,8.8,Miercoles,13,1,0,11.4,3840,1,2025-10-15,Soleado
Poblado,Alpujarra,Metro,1.7,Jueves,23,0,0,1.7,3200,1,2025-10-02,Soleado
Universidad,Cisneros,Caminando,7.7,Miercoles,17,1,0,47.5,0,0,2025-12-10,Soleado
Universidad,Hospital,Metro,6.6,Miercoles,7,1,0,9.1,3840,1,2025-09-03,Tormenta
Envigado,San Javier,Taxi,8.2,Sabado,8,1,1,45.1,12072,0,2025-06-07,Tormenta
Estadio,San Antonio,Bus,1.6,Miercoles,10,0,0,3.3,2800,1,2025-07-09,Tormenta
Parque Berrio,Tricentenario,Bus,9.0,Miercoles,7,1,0,20.8,3360,0,2025-06-18,Lluvia
Prado,Suramericana,Cable,7.5,Martes,23,0,0,29.2,0,1,2025-11-25,Tormenta
Caribe,Itagui,Metro,14.2,Viernes,1,0,0,16.1,3200,0,2025-09-26,Nublado
Madera,Floresta,Bus,6.2,Domingo,6,1,1,12.0,3360,0,2025-01-05,Tormenta
San Javier,Aguacatala,Metro,1.2,Sabado,17,1,1,1.3,3840,0,2025-01-04,Soleado
Ayura,Floresta,Cable,8.3,Miercoles,3,0,0,25.5,0,1,2025-04-02,Lluvia
Prado,Cisneros,Cable,7.4,Lunes,11,1,0,34.1,0,1,2025-02-10,Soleado
La Estrella,San Javier,Metro,6.3,Lunes,12,1,0,9.8,3840,0,2025-02-17,Soleado
Aguacatala,Industriales,Taxi,4.2,Viernes,3,0,0,26.3,6860,0,2025-10-17,Lluvia
Bello,Acevedo,Taxi,3.5,Lunes,18,1,0,54.9,7560,1,2025-10-06,Tormenta
Madera,San Antonio,Bus,10.5,Jueves,7,1,0,28.1,3360,0,2025-10-16,Soleado
Ayura,Estadio,Taxi,4.3,Martes,3,0,0,18.0,6940,0,2025-01-28,Tormenta
Estadio,San Antonio,Metro,7.9,Viernes,8,1,0,11.6,3840,0,2025-11-21,Tormenta
Madera,Suramericana,Caminando,2.1,Domingo,7,1,1,6.4,0,0,2025-06-01,Tormenta
San Antonio,Exposiciones,Metro,7.2,Domingo,0,0,1,6.0,3200,1,2025-02-16,Tormenta
Poblado,Itagui,Caminando,1.4,Sabado,13,1,1,4.8,0,0,2025-09-20,Lluvia
Exposiciones,Niquia,Taxi,11.1,Jueves,12,1,0,89.9,14856,1,2025-07-31,Nublado
San Javier,Exposiciones,Bus,4.8,Jueves,8,1,0,10.5,3360,1,2025-03-13,Lluvia
Aguacatala,Cisneros,Metro,11.1,Viernes,8,1,0,17.4,3840,0,2025-07-04,Nublado
Parque Berrio,Niquia,Cable,12.3,Viernes,19,1,0,59.3,0,0,2025-06-20,Nublado
Parque Berrio,Alpujarra,Caminando,5.4,Lunes,6,1,0,34.6,0,1,2025-12-22,Tormenta
Itagui,Cisneros,Bus,12.4,Lunes,12,1,0,30.9,3360,0,2025-06-16,Nublado
San Javier,Suramericana,Caminando,14.2,Martes,23,0,0,42.8,0,0,2025-01-14,Soleado
Cisneros,Suramericana,Cable,9.9,Jueves,15,0,0,30.4,0,0,2025-12-11,Tormenta
Madera,Aguacatala,Caminando,8.5,Miercoles,18,1,0,53.6,0,0,2025-09-03,Soleado
Suramericana,Alpujarra,Caminando,2.5,Sabado,20,0,1,5.4,0,1,2025-11-01,Soleado
Itagui,San Javier,Cable,1.1,Jueves,13,1,0,5.1,0,0,2025-06-19,Nublado
Poblado,Alpujarra,Cable,5.8,Martes,21,0,0,15.7,0,0,2025-08-26,Soleado
Acevedo,Estadio,Bus,7.4,Sabado,9,0,1,7.8,2800,0,2025-06-28,Tormenta
Floresta,Santa Lucia,Cable,1.6,Viernes,2,0,0,11.4,0,1,2025-06-13,Nublado
Floresta,Hospital,Caminando,5.6,Lunes,17,1,0,28.4,0,0,2025-03-31,Nublado
Caribe,San Javier,Cable,7.3,Martes,0,0,0,42.3,0,1,2025-07-22,Soleado
Itagui,Acevedo,Caminando,3.8,Domingo,11,1,1,11.4,0,0,2025-04-06,Lluvia
Sabaneta,Exposiciones,Caminando,5.9,Domingo,18,1,1,25.2,0,0,2025-07-20,Lluvia
Sabaneta,Itagui,Metro,2.7,Jueves,4,0,0,2.6,3200,0,2025-12-11,Tormenta
Industriales,La Estrella,Bus,3.6,Miercoles,12,1,0,10.1,3360,0,2025-10-22,Nublado
Envigado,Caribe,Cable,5.4,Miercoles,4,0,0,18.5,0,0,2025-05-28,Soleado
Aguacatala,Tricentenario,Bus,6.7,Miercoles,17,1,0,17.5,3360,0,2025-07-16,Nublado
Madera,Sabaneta,Metro,4.8,Miercoles,9,0,0,5.1,3200,0,2025-04-23,Tormenta
Envigado,Ayura,Metro,11.9,Martes,3,0,0,14.4,3200,0,2025-10-21,Soleado
Estadio,Floresta,Cable,2.4,Martes,6,1,0,14.6,0,1,2025-10-07,Soleado
Poblado,Prado,Taxi,11.9,Viernes,14,1,0,82.0,15624,0,2025-02-14,Lluvia
Santa Lucia,Sabaneta,Cable,12.0,Miercoles,19,1,0,72.4,0,0,2025-03-26,Lluvia
Sabaneta,Envigado,Bus,5.1,Domingo,22,0,1,5.6,2800,0,2025-06-15,Soleado
Tricentenario,Suramericana,Cable,10.8,Viernes,8,1,0,46.8,0,0,2025-01-31,Nublado
