estacion,dia_semana,hora,es_hora_pico,es_finde_semana,demanda_pasajeros,tiempo_espera_min,transferencias_disponibles,ingresos_diarios,clima,num_tipos_transporte,tiene_metro,tiene_bus,tiene_taxi,tiene_cable,evento_especial
Exposiciones,Miercoles,20,0,0,317,14.7,2,3038437.0,Soleado,3,1,0,1,1,0
Industriales,Lunes,17,1,0,612,8.6,0,1969322.0,Soleado,4,1,1,1,1,0
Itagui,Miercoles,5,0,0,473,3.4,2,1413269.0,Tormenta,2,0,0,1,1,0
Aguacatala,Domingo,11,1,1,665,13.0,3,1911796.0,Lluvia,4,0,1,1,1,1
Cisneros,Domingo,19,1,1,789,6.0,2,2307309.0,Nublado,3,0,0,1,1,0
Exposiciones,Sabado,12,1,1,457,19.5,1,1497680.0,Tormenta,4,1,1,0,1,1
Tricentenario,Viernes,9,0,0,558,9.5,3,1870613.0,Soleado,4,0,1,1,1,0
Santa Lucia,Jueves,19,1,0,774,13.7,2,2257322.0,Soleado,4,1,0,1,1,0
Hospital,Viernes,23,0,0,756,6.2,3,2525524.0,Tormenta,2,1,0,1,0,0
Parque Berrio,Viernes,2,0,0,1151,12.8,1,3503448.0,Lluvia,2,0,0,0,1,1
Acevedo,Miercoles,23,0,0,2806,2.6,0,9448167.0,Nublado,3,1,1,1,0,0
Envigado,Domingo,10,0,1,440,6.5,1,1289407.0,Tormenta,4,1,1,1,1,0
Santa Lucia,Domingo,6,1,1,1463,12.4,4,4287866.0,Lluvia,4,1,1,1,1,1
Sabaneta,Domingo,18,1,1,700,5.5,2,2410154.0,Nublado,2,1,0,1,0,0
Acevedo,Viernes,11,1,0,6085,12.7,4,18672413.0,Tormenta,2,0,1,0,0,0
Tricentenario,Domingo,10,0,1,482,6.0,0,1513107.0,Tormenta,4,0,1,1,1,1
Aguacatala,Jueves,2,0,0,1114,10.7,2,3144696.0,Tormenta,3,0,1,1,1,0
Itagui,Viernes,8,1,0,1634,3.3,3,5200119.0,Lluvia,1,0,1,0,0,0
Poblado,Jueves,11,1,0,6373,4.6,1,18780687.0,Nublado,3,1,0,0,1,0
Cisneros,Miercoles,1,0,0,845,5.1,4,2465595.0,Soleado,3,0,0,1,1,0
Estadio,Miercoles,1,0,0,1187,9.5,1,3531057.0,Nublado,2,0,0,0,1,0
La Estrella,Viernes,12,1,0,1733,17.5,0,5341098.0,Soleado,3,0,1,0,1,0
Floresta,Sabado,20,0,1,607,8.1,1,2110958.0,Nublado,4,0,1,1,1,1
Suramericana,Miercoles,21,0,0,347,3.0,3,975555.0,Soleado,2,0,0,0,1,1
Universidad,Viernes,4,0,0,462,12.0,2,1323786.0,Nublado,1,0,0,1,0,0
Exposiciones,Lunes,9,0,0,739,9.5,0,2069762.0,Tormenta,2,0,1,0,0,0
Niquia,Martes,10,0,0,3229,9.9,3,9201293.0,Lluvia,1,1,0,0,0,0
Parque Berrio,Miercoles,12,1,0,1908,5.0,4,6094732.0,Nublado,2,0,0,1,1,0
Industriales,Miercoles,21,0,0,1180,4.3,0,3419651.0,Nublado,4,1,1,1,1,0
La Estrella,Jueves,7,1,0,1643,13.7,2,4836683.0,Soleado,2,0,0,1,1,0
Aguacatala,Jueves,3,0,0,811,9.3,0,2570708.0,Tormenta,3,0,1,1,1,0
Envigado,Martes,5,0,0,1088,2.7,4,3097833.0,Tormenta,1,1,0,0,0,0
La Estrella,Miercoles,16,0,0,1667,10.0,0,5415043.0,Lluvia,2,1,0,1,0,0
Ayura,Martes,4,0,0,700,8.7,0,2111983.0,Soleado,2,1,1,0,0,1
Acevedo,Jueves,19,1,0,5070,13.7,1,14619903.0,Tormenta,1,0,1,0,0,0
Ayura,Lunes,23,0,0,470,6.2,2,1557136.0,Tormenta,1,0,0,1,0,0
Ayura,Domingo,8,1,1,848,11.0,4,2473461.0,Soleado,1,0,0,0,0,0
Floresta,Jueves,0,0,0,1179,11.9,1,3339149.0,Tormenta,2,1,1,0,0,0
San Antonio,Jueves,13,1,0,4994,12.3,0,15738235.0,Tormenta,2,1,1,0,0,0
Poblado,Domingo,9,0,1,2921,1.9,1,8775024.0,Tormenta,2,0,0,1,1,0
Floresta,Martes,7,1,0,601,3.0,4,1828540.0,Soleado,1,0,0,1,0,1
Floresta,Sabado,3,0,1,669,6.7,0,2328649.0,Tormenta,3,1,0,0,1,0
Poblado,Jueves,18,1,0,5593,16.5,0,17977731.0,Lluvia,2,0,1,1,0,0
Suramericana,Lunes,22,0,0,625,7.1,1,1782676.0,Soleado,1,0,1,0,0,0
Poblado,Miercoles,10,0,0,1994,8.1,1,6213986.0,Nublado,1,1,0,0,0,0
Cisneros,Sabado,22,0,1,390,5.6,0,1286146.0,Lluvia,4,1,1,1,0,0
Niquia,Domingo,14,1,1,2420,5.0,0,6880468.0,Tormenta,2,0,1,0,0,0
San Javier,Miercoles,20,0,0,1992,8.7,0,5607998.0,Soleado,4,1,1,0,1,1
Bello,Viernes,18,1,0,2124,11.0,3,6963001.0,Lluvia,2,0,1,1,0,1
Tricentenario,Sabado,19,1,1,987,11.9,0,2824207.0,Tormenta,4,1,1,1,0,0
Aguacatala,Lunes,15,0,0,263,19.9,3,2627599.0,Soleado,1,0,0,1,0,1
Ayura,Jueves,18,1,0,717,13.7,2,2275459.0,Tormenta,1,0,1,0,0,0
Cisneros,Domingo,5,0,1,161,28.2,2,1854045.0,Tormenta,2,0,1,0,0,0
Caribe,Martes,1,0,0,357,4.5,1,1004580.0,Lluvia,3,1,1,0,0,0
Suramericana,Domingo,1,0,1,304,12.5,0,1031331.0,Tormenta,1,0,0,1,0,0
San Antonio,Miercoles,10,0,0,2145,10.4,3,7194952.0,Nublado,3,1,1,1,0,1
Parque Berrio,Viernes,9,0,0,481,10.3,4,1478652.0,Lluvia,1,0,1,0,0,0
La Estrella,Viernes,3,0,0,1088,5.7,0,3227658.0,Tormenta,2,1,0,1,0,0
Prado,Viernes,7,1,0,1071,4.4,0,3034896.0,Lluvia,4,0,1,1,1,1
Acevedo,Miercoles,18,1,0,3737,16.1,0,11235051.0,Lluvia,1,1,0,0,0,0
Exposiciones,Lunes,23,0,0,860,12.8,0,2611446.0,Tormenta,4,1,0,1,1,0
Bello,Viernes,10,0,0,494,6.6,4,1632881.0,Soleado,3,1,0,1,0,0
Exposiciones,Lunes,17,1,0,697,2.7,0,2095311.0,Nublado,4,1,1,1,1,0
Madera,Domingo,3,0,1,683,7.5,2,1955973.0,Lluvia,2,0,0,1,1,0
Poblado,Jueves,8,1,0,5554,16.7,4,15790842.0,Lluvia,1,1,0,0,0,1
Estadio,Miercoles,7,1,0,1964,11.4,4,6443781.0,Soleado,2,0,0,1,1,1
Santa Lucia,Sabado,16,0,1,331,7.1,1,1152051.0,Soleado,2,1,0,0,1,1
Universidad,Martes,4,0,0,627,12.5,0,1793796.0,Tormenta,3,1,0,1,1,0
Industriales,Martes,4,0,0,408,8.4,0,1366809.0,Tormenta,3,0,1,1,1,1
Bello,Domingo,8,1,1,569,9.4,3,1947517.0,Lluvia,2,1,0,0,1,0
Niquia,Domingo,9,0,1,1993,11.8,0,6937130.0,Tormenta,3,0,1,1,1,0
Universidad,Viernes,6,1,0,1843,11.3,2,6219595.0,Tormenta,2,1,0,1,0,0
Estadio,Viernes,18,1,0,761,16.7,0,2263703.0,Tormenta,3,0,1,1,0,1
La Estrella,Miercoles,21,0,0,1295,6.2,4,4030393.0,Lluvia,4,1,1,1,0,0
Parque Berrio,Miercoles,12,1,0,897,15.8,1,3049780.0,Soleado,2,0,0,1,1,0
Aguacatala,Domingo,20,0,1,677,4.4,4,2277130.0,Tormenta,3,0,1,0,1,0
Universidad,Miercoles,9,0,0,898,3.0,4,3142641.0,Soleado,3,0,1,1,0,1
Madera,Domingo,8,1,1,1349,18.7,2,3955068.0,Lluvia,2,1,0,0,1,0
Floresta,Martes,20,0,0,602,4.8,3,1856098.0,Tormenta,2,0,1,1,0,0
Ayura,Martes,5,0,0,600,2.9,1,1991186.0,Nublado,2,1,0,1,0,0
Hospital,Sabado,13,1,1,651,17.0,3,1847261.0,Nublado,1,0,0,0,1,0
San Javier,Martes,16,0,0,1646,2.4,1,4767072.0,Nublado,4,1,1,0,1,0
Aguacatala,Viernes,20,0,0,620,9.2,0,1932191.0,Tormenta,2,0,1,0,0,0
Tricentenario,Martes,13,1,0,1222,10.7,0,3453870.0,Nublado,3,1,0,1,1,0
San Javier,Viernes,20,0,0,1263,9.9,2,3812321.0,Lluvia,3,1,1,0,1,0
Poblado,Miercoles,19,1,0,6368,19.4,2,22270789.0,Soleado,2,0,1,0,1,0
Hospital,Domingo,6,1,1,849,14.6,0,2600177.0,Soleado,1,0,0,0,0,0
La Estrella,Sabado,1,0,1,1046,3.2,2,3276153.0,Tormenta,1,0,0,1,0,0
San Javier,Miercoles,8,1,0,3173,4.4,4,9145900.0,Nublado,1,0,0,0,1,0
Estadio,Jueves,16,0,0,666,10.0,2,1939566.0,Nublado,2,0,0,1,1,0
Niquia,Miercoles,2,0,0,3851,9.6,1,13342222.0,Lluvia,1,1,0,0,0,0
Poblado,Domingo,8,1,1,3665,3.3,2,11186131.0,Nublado,4,1,0,1,1,0
San Antonio,Jueves,14,1,0,3170,8.4,0,9765325.0,Nublado,3,0,1,0,1,0
Tricentenario,Martes,23,0,0,1164,3.7,3,4001668.0,Nublado,4,1,1,0,1,1
Aguacatala,Jueves,13,1,0,531,13.7,0,1748688.0,Tormenta,2,1,0,1,0,0
Aguacatala,Viernes,21,0,0,452,11.6,4,1547848.0,Tormenta,1,0,1,0,0,1
Caribe,Sabado,15,0,1,327,5.1,4,966578.0,Tormenta,4,1,1,1,0,0
Aguacatala,Domingo,10,0,1,585,2.0,3,1806853.0,Lluvia,1,1,0,0,0,0
La Estrella,Miercoles,14,1,0,2953,16.4,3,8954621.0,Nublado,4,1,0,1,1,0
San Antonio,Martes,20,0,0,3743,7.9,0,10600343.0,Lluvia,2,1,0,0,1,0
Universidad,Lunes,12,1,0,1468,5.8,2,4221140.0,Tormenta,1,0,0,0,1,0
Aguacatala,Viernes,16,0,0,866,12.7,4,2717553.0,Nublado,2,0,1,0,0,0
Exposiciones,Miercoles,19,1,0,1583,9.7,4,5447320.0,Tormenta,3,0,1,1,1,0
Tricentenario,Jueves,19,1,0,2152,17.1,4,6978523.0,Nublado,3,0,1,1,0,0
Santa Lucia,Sabado,11,1,1,1119,9.7,4,3357167.0,Soleado,1,0,0,0,0,0
Exposiciones,Domingo,1,0,1,292,11.0,2,957285.0,Nublado,1,0,0,1,0,0
Alpujarra,Miercoles,3,0,0,3798,6.3,4,12719559.0,Tormenta,3,1,1,0,1,0
Envigado,Martes,0,0,0,507,9.1,3,1714161.0,Nublado,3,0,1,1,0,0
Poblado,Martes,21,0,0,679,29.8,4,6531235.0,Lluvia,3,0,1,1,0,0
San Antonio,Miercoles,22,0,0,1663,3.6,2,5351228.0,Lluvia,3,1,0,1,1,0
Caribe,Miercoles,2,0,0,725,8.2,3,2076662.0,Lluvia,2,0,0,1,0,0
Universidad,Jueves,16,0,0,874,11.4,0,2517387.0,Soleado,2,0,1,0,0,0
Exposiciones,Viernes,12,1,0,1588,3.0,4,5360256.0,Lluvia,4,1,1,0,1,0
Acevedo,Jueves,17,1,0,2838,13.2,1,9664711.0,Tormenta,1,0,1,0,0,0
