perfil,viajes_mes,presupuesto,pref_horario,origen_frecuente,destino_frecuente,usa_metro,usa_taxi,distancia_promedio,tolerancia_transbordos,usa_horario_pico,eventos_mes
Ocasional,6,bajo,Tarde,Exposiciones,Itagui,0,0,13.8,0,1,8
Ocasional,5,bajo,Mañana,San Antonio,Poblado,1,0,10.5,2,1,0
Turista,14,medio,Tarde,Caribe,Cisneros,1,0,4.2,3,1,1
Turista,12,medio,Tarde,Itagui,Acevedo,1,0,7.6,3,0,6
Frecuente,39,bajo,Hora Pico,Acevedo,Bello,1,0,6.2,2,1,8
Turista,10,medio,Tarde,Acevedo,Caribe,1,0,7.6,3,1,8
Ocasional,3,bajo,Noche,Caribe,Ayura,0,0,12.1,2,1,2
Premium,23,alto,Flexible,Niquia,San Javier,1,1,9.4,0,1,5
Premium,16,alto,Flexible,Santa Lucia,Hospital,1,1,3.7,2,0,6
Frecuente,27,bajo,Fuera de Hora Pico,Alpujarra,Sabaneta,1,0,7.8,3,0,1
Turista,15,medio,Tarde,Sabaneta,Prado,1,0,6.1,0,0,4
Ocasional,1,bajo,Mañana,Bello,Cisneros,1,0,8.3,3,0,3
Ocasional,1,bajo,Noche,Parque Berrio,Suramericana,1,0,3.5,3,0,6
Frecuente,31,bajo,Fuera de Hora Pico,Floresta,Cisneros,1,0,6.7,3,1,4
Premium,23,alto,Flexible,Alpujarra,Acevedo,0,1,12.6,3,1,6
Turista,13,medio,Tarde,Cisneros,San Antonio,1,0,14.9,3,1,5
Turista,11,medio,Tarde,Santa Lucia,San Javier,1,0,14.6,1,1,7
Ocasional,1,bajo,Noche,Universidad,Sabaneta,1,0,11.9,1,1,0
Turista,14,medio,Tarde,Suramericana,Aguacatala,1,0,8.5,2,0,6
Ocasional,2,bajo,Tarde,Hospital,Floresta,1,0,3.2,0,1,2
Premium,17,alto,Flexible,Parque Berrio,Acevedo,0,1,5.4,0,1,6
Turista,10,medio,Tarde,Alpujarra,Tricentenario,1,0,8.8,0,1,2
Turista,12,medio,Tarde,Santa Lucia,Estadio,1,0,11.3,0,1,3
Premium,5,alto,Flexible,Caribe,Floresta,1,1,8.5,0,1,3
Ocasional,8,bajo,Noche,Poblado,Exposiciones,1,0,4.6,1,1,7
Ocasional,3,bajo,Noche,Parque Berrio,Hospital,1,0,14.4,3,1,3
Ocasional,6,bajo,Noche,Industriales,Prado,1,0,13.6,1,1,0
Premium,17,alto,Flexible,La Estrella,Bello,0,1,11.2,3,1,6
Ocasional,6,bajo,Noche,Bello,Santa Lucia,1,0,12.8,3,1,3
Premium,5,alto,Flexible,Madera,Caribe,0,1,4.9,0,1,6
Turista,10,medio,Tarde,Industriales,Exposiciones,1,0,14.6,2,1,5
Frecuente,60,bajo,Hora Pico,Prado,Caribe,1,0,10.5,0,1,6
Premium,12,alto,Flexible,Santa Lucia,Caribe,0,1,14.3,3,1,7
Ocasional,6,bajo,Noche,Hospital,Envigado,0,0,3.4,2,1,2
Ocasional,4,bajo,Tarde,Envigado,Suramericana,1,0,14.2,3,0,5
Premium,9,alto,Flexible,San Antonio,Acevedo,0,1,3.4,0,1,5
Premium,20,alto,Flexible,Caribe,La Estrella,1,1,14.4,0,1,8
Turista,15,medio,Tarde,Prado,San Antonio,1,0,4.1,1,1,8
Turista,13,medio,Tarde,Caribe,Alpujarra,1,0,9.7,1,1,3
Premium,18,alto,Flexible,Exposiciones,San Javier,0,1,5.2,2,0,1
Turista,15,medio,Tarde,Estadio,Itagui,1,0,13.5,3,1,5
Ocasional,4,bajo,Tarde,Itagui,San Antonio,1,0,5.6,1,1,3
Premium,13,alto,Flexible,San Javier,Madera,0,1,10.5,3,1,2
Ocasional,4,bajo,Tarde,Estadio,Madera,1,0,7.8,3,0,2
Turista,15,medio,Tarde,San Antonio,Hospital,1,0,4.8,1,0,4
Turista,3,medio,Tarde,Floresta,San Javier,1,0,9.1,0,0,8
Ocasional,3,bajo,Noche,Madera,La Estrella,1,0,9.7,2,0,8
Premium,12,alto,Flexible,Envigado,Santa Lucia,1,1,12.2,0,1,6
Ocasional,8,bajo,Noche,Niquia,Estadio,0,0,3.2,0,1,8
Ocasional,6,bajo,Noche,Envigado,Acevedo,0,0,6.2,1,0,0
Premium,6,alto,Flexible,San Antonio,Industriales,0,1,14.8,1,1,8
Turista,15,medio,Tarde,Suramericana,Itagui,1,0,10.1,1,1,3
Ocasional,2,bajo,Tarde,Itagui,Parque Berrio,1,0,8.0,1,1,1
Frecuente,38,bajo,Fuera de Hora Pico,Poblado,Industriales,1,0,12.3,1,1,2
Premium,23,alto,Flexible,Estadio,Caribe,1,1,3.6,2,1,8
Premium,23,alto,Flexible,Caribe,Industriales,0,1,3.1,1,0,3
Ocasional,5,bajo,Noche,Alpujarra,Poblado,1,0,14.6,2,1,1
Turista,9,medio,Tarde,Alpujarra,Ayura,1,0,13.2,0,0,4
Premium,6,alto,Flexible,Ayura,Sabaneta,0,1,11.1,3,0,1
Turista,7,medio,Tarde,Alpujarra,Bello,1,0,9.3,1,1,5
Frecuente,28,bajo,Hora Pico,Hospital,Niquia,1,0,8.7,1,1,8
Turista,9,medio,Tarde,Prado,Acevedo,1,0,14.0,3,0,3
Premium,16,alto,Flexible,San Antonio,Itagui,1,1,7.8,0,1,8
Frecuente,56,bajo,Hora Pico,Parque Berrio,Bello,1,0,9.2,2,0,4
Frecuente,60,bajo,Fuera de Hora Pico,Ayura,Envigado,1,0,7.2,0,1,0
Turista,12,medio,Tarde,Exposiciones,Alpujarra,1,0,7.6,1,0,6
Frecuente,49,bajo,Fuera de Hora Pico,Santa Lucia,Caribe,1,0,4.7,3,1,1
Frecuente,50,bajo,Fuera de Hora Pico,Hospital,Parque Berrio,1,0,4.5,1,1,5
Premium,25,alto,Flexible,Caribe,Cisneros,0,1,14.1,1,1,0
Ocasional,8,bajo,Tarde,San Javier,Niquia,0,0,8.0,2,1,0
Frecuente,44,bajo,Fuera de Hora Pico,Prado,Aguacatala,1,0,5.7,2,1,4
Ocasional,5,bajo,Noche,Sabaneta,Madera,0,0,3.4,1,0,3
Ocasional,7,bajo,Noche,Poblado,Sabaneta,1,0,10.6,3,1,7
Premium,20,alto,Flexible,Estadio,Bello,0,1,11.5,0,0,0
Premium,5,alto,Flexible,Hospital,Estadio,1,1,8.6,1,1,1
Turista,10,medio,Tarde,Santa Lucia,Aguacatala,1,0,12.4,2,1,3
Premium,9,alto,Flexible,Universidad,Sabaneta,1,1,5.7,1,0,2
Premium,20,alto,Flexible,Estadio,Caribe,1,1,8.5,2,1,5
Ocasional,3,bajo,Mañana,Caribe,Madera,1,0,4.2,2,1,6
Ocasional,4,bajo,Noche,Universidad,Envigado,1,0,5.8,3,1,8
Turista,11,medio,Tarde,Cisneros,Ayura,1,0,13.5,1,1,0
Premium,19,alto,Flexible,Alpujarra,Santa Lucia,0,1,9.0,2,1,7
Ocasional,7,bajo,Noche,San Javier,Itagui,0,0,5.1,2,0,0
Frecuente,40,bajo,Fuera de Hora Pico,Industriales,Madera,1,0,13.2,3,1,4
Turista,14,medio,Tarde,Poblado,San Javier,1,0,8.4,0,1,8
Turista,6,medio,Tarde,Santa Lucia,Industriales,1,0,12.0,0,1,5
Premium,25,alto,Flexible,Santa Lucia,Madera,0,1,4.4,2,1,2
Frecuente,60,bajo,Fuera de Hora Pico,La Estrella,Bello,1,0,4.0,2,1,7
Turista,12,medio,Tarde,Industriales,Tricentenario,1,0,7.8,1,1,6
Premium,14,alto,Flexible,Itagui,Madera,1,1,11.5,1,1,2
Ocasional,1,bajo,Noche,Niquia,Cisneros,0,0,3.4,2,0,6
Turista,12,medio,Tarde,Bello,Industriales,1,0,5.2,0,1,5
Premium,8,alto,Flexible,Itagui,Floresta,0,1,7.8,0,1,0
Ocasional,1,bajo,Noche,La Estrella,Alpujarra,1,0,9.2,3,1,4
Frecuente,31,bajo,Fuera de Hora Pico,San Javier,La Estrella,1,0,6.5,3,1,2
Premium,21,alto,Flexible,Alpujarra,Acevedo,0,1,8.5,3,0,5
Ocasional,3,bajo,Noche,Prado,Universidad,0,0,12.1,1,1,6
Turista,8,medio,Tarde,San Javier,Poblado,1,0,11.2,3,1,4
Frecuente,44,bajo,Fuera de Hora Pico,Envigado,Aguacatala,1,0,6.9,1,1,0
Premium,25,alto,Flexible,Prado,Niquia,0,1,8.6,3,0,2
Ocasional,7,bajo,Mañana,Aguacatala,Prado,0,0,15.0,3,1,6
Turista,13,medio,Tarde,Prado,Ayura,1,0,4.8,0,1,2
Premium,12,alto,Flexible,Industriales,Envigado,1,1,10.9,1,1,0
Frecuente,29,bajo,Fuera de Hora Pico,Estadio,Universidad,1,0,7.6,2,1,5
Premium,22,alto,Flexible,Aguacatala,Universidad,1,1,6.8,0,1,8
Ocasional,1,bajo,Noche,Caribe,Envigado,1,0,11.3,2,1,6
Premium,18,alto,Flexible,San Javier,Exposiciones,0,1,4.1,1,1,3
Ocasional,7,bajo,Mañana,San Antonio,Industriales,1,0,11.4,2,0,0
Premium,7,alto,Flexible,Exposiciones,Universidad,1,1,15.0,0,1,3
Turista,5,medio,Tarde,Santa Lucia,Acevedo,1,0,12.5,0,1,1
Turista,7,medio,Tarde,Bello,Aguacatala,1,0,9.1,0,1,8
Ocasional,2,bajo,Mañana,Estadio,Suramericana,1,0,5.3,3,1,3
Turista,8,medio,Tarde,Caribe,Ayura,1,0,14.1,1,1,5
Turista,10,medio,Tarde,Poblado,Ayura,1,0,11.4,2,1,8
Ocasional,8,bajo,Mañana,Santa Lucia,Itagui,0,0,14.0,3,1,1
Premium,14,alto,Flexible,Niquia,Madera,1,1,10.9,1,0,1
Frecuente,28,bajo,Fuera de Hora Pico,Ayura,Sabaneta,1,0,5.3,2,1,2
Ocasional,4,bajo,Tarde,Madera,Exposiciones,1,0,9.0,0,1,1
Premium,10,alto,Flexible,Floresta,Itagui,0,1,7.2,3,1,7
Turista,13,medio,Tarde,Alpujarra,San Antonio,1,0,9.7,1,0,5
Premium,9,alto,Flexible,San Javier,Niquia,1,1,13.4,3,0,2
Frecuente,55,bajo,Hora Pico,Sabaneta,Hospital,1,0,12.6,2,1,8
Turista,11,medio,Tarde,Sabaneta,Aguacatala,1,0,4.2,1,1,6
Premium,20,alto,Flexible,Ayura,Santa Lucia,1,1,6.7,3,0,4
Premium,15,alto,Flexible,San Javier,Tricentenario,1,1,13.8,1,0,0
Ocasional,6,bajo,Noche,Ayura,Itagui,0,0,3.6,3,1,4
Premium,5,alto,Flexible,La Estrella,Niquia,0,1,6.8,0,0,8
Turista,10,medio,Tarde,Sabaneta,Aguacatala,1,0,12.6,2,0,6
Ocasional,4,bajo,Tarde,Exposiciones,Universidad,1,0,13.0,2,1,5
Frecuente,34,bajo,Hora Pico,Parque Berrio,Aguacatala,1,0,8.3,3,1,3
Turista,12,medio,Tarde,Tricentenario,Caribe,1,0,12.5,3,1,2
Ocasional,2,bajo,Tarde,Caribe,Hospital,0,0,8.8,1,1,7
Frecuente,38,bajo,Fuera de Hora Pico,Bello,Alpujarra,1,0,14.6,0,1,0
Premium,25,alto,Flexible,Aguacatala,Tricentenario,1,1,12.0,0,1,6
Frecuente,58,bajo,Hora Pico,Prado,Exposiciones,1,0,14.4,3,1,6
Turista,3,medio,Tarde,Itagui,Envigado,1,0,12.0,2,1,8
Ocasional,8,bajo,Tarde,Floresta,Hospital,1,0,7.7,2,0,7
Premium,21,alto,Flexible,Ayura,Estadio,1,1,10.1,2,1,5
Turista,4,medio,Tarde,Hospital,Acevedo,1,0,12.6,2,1,4
Turista,4,medio,Tarde,Industriales,Hospital,1,0,13.1,2,0,7
Premium,20,alto,Flexible,Prado,Hospital,1,1,8.3,1,0,3
Premium,21,alto,Flexible,Alpujarra,Industriales,1,1,13.8,0,1,1
Turista,8,medio,Tarde,Alpujarra,Ayura,1,0,10.1,1,0,2
Ocasional,1,bajo,Mañana,Itagui,Niquia,1,0,6.8,2,1,7
Frecuente,44,bajo,Fuera de Hora Pico,Envigado,Alpujarra,1,0,6.4,2,1,1
Frecuente,37,bajo,Fuera de Hora Pico,Caribe,San Antonio,1,0,7.9,3,0,2
Frecuente,59,bajo,Hora Pico,Hospital,Bello,1,0,12.3,3,1,3
Premium,11,alto,Flexible,San Antonio,Sabaneta,1,1,11.0,0,1,2
Frecuente,27,bajo,Fuera de Hora Pico,Niquia,Envigado,1,0,8.9,3,1,5
Turista,11,medio,Tarde,La Estrella,Envigado,1,0,4.8,3,1,7
Turista,6,medio,Tarde,Bello,Sabaneta,1,0,14.2,3,0,8
Frecuente,47,bajo,Fuera de Hora Pico,Industriales,Niquia,1,0,9.8,3,1,5
Premium,5,alto,Flexible,Prado,Exposiciones,1,1,10.9,3,1,6
Frecuente,59,bajo,Hora Pico,San Javier,Madera,1,0,3.2,3,1,2
Frecuente,45,bajo,Fuera de Hora Pico,Tricentenario,Aguacatala,1,0,9.2,2,0,3
Ocasional,6,bajo,Noche,San Javier,Madera,1,0,11.9,3,1,1
Turista,10,medio,Tarde,San Antonio,Universidad,1,0,10.0,3,0,5
Ocasional,8,bajo,Noche,Ayura,Santa Lucia,0,0,9.0,0,1,5
Frecuente,55,bajo,Hora Pico,Alpujarra,Universidad,1,0,11.9,2,1,7
Frecuente,47,bajo,Hora Pico,Sabaneta,Alpujarra,1,0,3.4,3,1,0
Premium,7,alto,Flexible,Industriales,La Estrella,0,1,8.0,1,0,2
Ocasional,6,bajo,Tarde,Envigado,Poblado,0,0,12.4,1,1,8
Premium,12,alto,Flexible,Acevedo,San Antonio,0,1,14.7,1,1,3
Turista,4,medio,Tarde,Aguacatala,Hospital,1,0,3.0,3,1,0
Premium,21,alto,Flexible,Industriales,Itagui,0,1,6.1,1,1,6
Ocasional,7,bajo,Tarde,Universidad,Itagui,0,0,7.7,2,1,0
Turista,10,medio,Tarde,Aguacatala,Alpujarra,1,0,14.9,2,1,7
Frecuente,40,bajo,Fuera de Hora Pico,Acevedo,Cisneros,1,0,3.0,3,1,2
Premium,5,alto,Flexible,Caribe,Alpujarra,0,1,11.3,0,0,8
Premium,15,alto,Flexible,Universidad,Alpujarra,0,1,8.8,2,1,7
Frecuente,22,bajo,Hora Pico,Tricentenario,San Antonio,1,0,14.3,0,1,1
Premium,6,alto,Flexible,Itagui,Hospital,1,1,4.4,3,0,1
Turista,15,medio,Tarde,San Javier,Acevedo,1,0,4.0,2,1,6
Ocasional,4,bajo,Noche,Niquia,Floresta,1,0,6.3,2,0,0
Premium,15,alto,Flexible,La Estrella,Envigado,0,1,10.0,1,1,0
Turista,12,medio,Tarde,Sabaneta,Santa Lucia,1,0,3.4,3,1,4
Frecuente,41,bajo,Fuera de Hora Pico,La Estrella,Alpujarra,1,0,11.9,0,1,3
Turista,6,medio,Tarde,Envigado,Universidad,1,0,7.8,3,0,2
Premium,16,alto,Flexible,Aguacatala,Bello,0,1,9.3,1,0,1
Premium,25,alto,Flexible,Prado,San Javier,1,1,10.6,3,1,3
Ocasional,1,bajo,Noche,Prado,Exposiciones,0,0,5.5,0,0,8
Turista,10,medio,Tarde,La Estrella,Caribe,1,0,13.1,0,1,6
Ocasional,8,bajo,Mañana,Universidad,Madera,1,0,9.0,0,1,8
Ocasional,7,bajo,Tarde,Hospital,Niquia,0,0,5.8,2,1,1
Frecuente,55,bajo,Hora Pico,Alpujarra,Bello,1,0,4.2,2,1,6
Turista,5,medio,Tarde,Alpujarra,Aguacatala,1,0,5.8,1,1,3
Turista,4,medio,Tarde,Tricentenario,Aguacatala,1,0,7.8,3,1,2
Premium,20,alto,Flexible,Prado,Exposiciones,1,1,3.4,0,1,8
Turista,4,medio,Tarde,Poblado,Hospital,1,0,10.8,0,1,7
Ocasional,7,bajo,Mañana,Caribe,Industriales,1,0,14.3,0,0,4
Turista,4,medio,Tarde,Industriales,San Antonio,1,0,3.4,2,0,1
Premium,10,alto,Flexible,Parque Berrio,Exposiciones,1,1,11.2,1,1,6
Premium,16,alto,Flexible,San Javier,Santa Lucia,0,1,13.1,0,1,7
Ocasional,5,bajo,Noche,Cisneros,Industriales,1,0,4.6,1,1,3
Turista,6,medio,Tarde,Sabaneta,Exposiciones,1,0,14.2,1,1,2
Turista,13,medio,Tarde,Industriales,Niquia,1,0,11.5,3,0,1
Premium,18,alto,Flexible,Niquia,Cisneros,1,1,5.0,0,0,3
Premium,9,alto,Flexible,San Antonio,Industriales,1,1,4.0,1,0,6
Frecuente,25,bajo,Hora Pico,Envigado,Prado,1,0,14.3,2,1,0
Premium,13,alto,Flexible,Estadio,Tricentenario,1,1,13.4,2,0,6
Ocasional,5,bajo,Noche,Santa Lucia,Niquia,0,0,8.3,3,0,6
Frecuente,33,bajo,Fuera de Hora Pico,Bello,Floresta,1,0,11.0,1,1,1
Frecuente,29,bajo,Fuera de Hora Pico,Aguacatala,Caribe,1,0,8.4,1,0,6
Frecuente,48,bajo,Fuera de Hora Pico,Floresta,Industriales,1,0,8.3,3,1,5
Ocasional,5,bajo,Tarde,La Estrella,Floresta,1,0,8.5,2,1,2
Premium,13,alto,Flexible,Universidad,Poblado,0,1,8.9,3,0,6
Turista,11,medio,Tarde,Prado,Floresta,1,0,12.8,0,1,5
Frecuente,45,bajo,Fuera de Hora Pico,Poblado,San Javier,1,0,9.0,1,0,1
Turista,4,medio,Tarde,Santa Lucia,Floresta,1,0,12.3,0,1,0
Premium,12,alto,Flexible,Universidad,Itagui,0,1,11.2,1,0,1
Premium,8,alto,Flexible,Exposiciones,Industriales,0,1,6.4,0,0,6
Frecuente,54,bajo,Hora Pico,Acevedo,La Estrella,1,0,5.7,2,1,1
Ocasional,6,bajo,Tarde,Itagui,Aguacatala,0,0,9.5,0,1,3
Premium,7,alto,Flexible,Niquia,Santa Lucia,0,1,7.5,3,0,6
Frecuente,35,bajo,Fuera de Hora Pico,Alpujarra,Bello,1,0,6.5,0,1,6
Frecuente,29,bajo,Fuera de Hora Pico,Aguacatala,Itagui,1,0,10.7,1,0,5
Ocasional,3,bajo,Tarde,Suramericana,Estadio,0,0,5.9,0,1,2
Ocasional,1,bajo,Noche,Bello,Acevedo,1,0,6.9,3,1,7
Ocasional,7,bajo,Mañana,Bello,Sabaneta,0,0,15.0,3,1,2
Turista,11,medio,Tarde,Exposiciones,Poblado,1,0,14.2,0,1,3
Turista,11,medio,Tarde,Madera,Suramericana,1,0,7.7,1,0,0
Turista,6,medio,Tarde,Aguacatala,Universidad,1,0,3.6,3,0,4
Frecuente,57,bajo,Hora Pico,Universidad,La Estrella,1,0,3.1,1,0,0
Premium,17,alto,Flexible,Suramericana,Bello,1,1,8.8,1,1,4
Turista,7,medio,Tarde,Ayura,San Antonio,1,0,13.7,3,1,8
Frecuente,24,bajo,Hora Pico,Caribe,Aguacatala,1,0,5.7,0,1,2
Frecuente,58,bajo,Hora Pico,Caribe,Tricentenario,1,0,9.9,1,1,5
Premium,6,alto,Flexible,Itagui,Santa Lucia,1,1,13.2,1,1,4
Turista,15,medio,Tarde,Alpujarra,Parque Berrio,1,0,5.8,0,1,6
Premium,16,alto,Flexible,Envigado,Bello,1,1,3.7,1,1,4
Turista,6,medio,Tarde,Exposiciones,Poblado,1,0,14.8,1,1,5
Premium,25,alto,Flexible,Prado,Alpujarra,0,1,9.5,3,1,0
Turista,14,medio,Tarde,Poblado,Bello,1,0,10.4,0,1,1
Turista,15,medio,Tarde,Tricentenario,Acevedo,1,0,10.6,0,1,5
Ocasional,5,bajo,Mañana,Hospital,Acevedo,0,0,12.7,2,1,6
Premium,5,alto,Flexible,Madera,San Antonio,0,1,7.9,0,1,3
Frecuente,40,bajo,Hora Pico,Niquia,Poblado,1,0,5.0,1,1,6
Ocasional,4,bajo,Mañana,Floresta,Prado,1,0,4.6,3,1,3
Frecuente,27,bajo,Fuera de Hora Pico,Acevedo,San Antonio,1,0,3.6,1,0,0
Ocasional,8,bajo,Mañana,Acevedo,La Estrella,1,0,12.5,2,1,4
Ocasional,6,bajo,Mañana,Niquia,Itagui,1,0,3.9,0,0,5
Turista,15,medio,Tarde,Poblado,Cisneros,1,0,12.7,2,0,6
Frecuente,43,bajo,Fuera de Hora Pico,Madera,Ayura,1,0,12.6,1,1,4
Ocasional,4,bajo,Noche,Tricentenario,Floresta,0,0,5.2,3,1,1
Ocasional,7,bajo,Tarde,Floresta,Industriales,1,0,3.3,2,1,3
Premium,19,alto,Flexible,Parque Berrio,Madera,1,1,11.0,0,1,1
Turista,8,medio,Tarde,Universidad,Tricentenario,1,0,4.5,3,1,7
Premium,10,alto,Flexible,San Antonio,Envigado,0,1,8.6,0,1,8
Frecuente,26,bajo,Fuera de Hora Pico,Acevedo,Alpujarra,1,0,13.4,0,0,4
Frecuente,36,bajo,Hora Pico,Caribe,San Antonio,1,0,11.4,2,1,4
Turista,10,medio,Tarde,Universidad,Madera,1,0,14.0,1,1,7
Premium,7,alto,Flexible,Exposiciones,La Estrella,1,1,6.9,2,1,8
Premium,20,alto,Flexible,Prado,Niquia,0,1,13.7,0,1,6
Ocasional,8,bajo,Mañana,Acevedo,Hospital,1,0,10.8,0,0,2
Turista,6,medio,Tarde,Envigado,Hospital,1,0,13.3,0,1,0
Frecuente,40,bajo,Fuera de Hora Pico,Itagui,Exposiciones,1,0,7.3,3,0,0
Ocasional,2,bajo,Noche,Parque Berrio,Tricentenario,1,0,12.4,0,1,7
Frecuente,38,bajo,Hora Pico,Acevedo,Poblado,1,0,13.4,1,0,2
Premium,7,alto,Flexible,Aguacatala,San Antonio,1,1,13.5,3,1,2
Premium,21,alto,Flexible,Hospital,Bello,0,1,10.7,2,0,1
Ocasional,7,bajo,Noche,Exposiciones,Bello,1,0,5.7,2,0,5
Frecuente,35,bajo,Fuera de Hora Pico,Santa Lucia,Industriales,1,0,7.7,1,0,7
Premium,18,alto,Flexible,Universidad,Suramericana,1,1,14.1,0,1,4
Premium,5,alto,Flexible,Estadio,San Antonio,0,1,10.7,2,0,3
Turista,13,medio,Tarde,Acevedo,Prado,1,0,10.7,2,1,3
Ocasional,1,bajo,Tarde,La Estrella,Aguacatala,0,0,9.4,2,1,6
Ocasional,2,bajo,Noche,Niquia,Parque Berrio,0,0,4.3,2,1,4
Premium,20,alto,Flexible,Hospital,Prado,1,1,6.2,1,1,7
Frecuente,47,bajo,Fuera de Hora Pico,Bello,Tricentenario,1,0,11.0,2,0,5
Frecuente,24,bajo,Fuera de Hora Pico,Suramericana,San Antonio,1,0,3.6,0,1,3
Turista,3,medio,Tarde,Madera,Estadio,1,0,4.4,2,1,8
Turista,7,medio,Tarde,La Estrella,Niquia,1,0,11.9,2,0,0
Premium,16,alto,Flexible,Aguacatala,Sabaneta,1,1,4.8,0,1,7
Frecuente,44,bajo,Fuera de Hora Pico,Ayura,Bello,1,0,7.8,1,1,2
Premium,7,alto,Flexible,Madera,La Estrella,0,1,7.2,2,0,6
Frecuente,51,bajo,Hora Pico,Ayura,Itagui,1,0,15.0,0,1,3
Ocasional,2,bajo,Mañana,Poblado,Sabaneta,0,0,7.0,1,1,2
Frecuente,33,bajo,Hora Pico,Madera,Universidad,1,0,7.0,3,1,5
Ocasional,4,bajo,Noche,Estadio,Industriales,1,0,4.5,1,1,1
Premium,7,alto,Flexible,Suramericana,Caribe,1,1,9.0,3,0,3
Premium,25,alto,Flexible,Santa Lucia,Aguacatala,0,1,13.4,1,1,1
Premium,9,alto,Flexible,Caribe,Bello,1,1,8.3,1,1,4
Ocasional,6,bajo,Noche,Madera,La Estrella,1,0,11.5,2,0,0
Premium,23,alto,Flexible,Hospital,San Javier,1,1,12.7,0,1,5
Premium,22,alto,Flexible,Sabaneta,Cisneros,1,1,14.6,1,1,2
Turista,6,medio,Tarde,Poblado,Sabaneta,1,0,7.2,1,0,1
Turista,13,medio,Tarde,Suramericana,Madera,1,0,4.5,1,0,5
Ocasional,2,bajo,Noche,Hospital,San Javier,0,0,5.5,0,0,5
Frecuente,43,bajo,Hora Pico,Caribe,Parque Berrio,1,0,7.9,2,1,4
Ocasional,3,bajo,Mañana,Cisneros,Floresta,0,0,4.5,1,1,0
Turista,15,medio,Tarde,Hospital,Envigado,1,0,12.0,3,0,4
Frecuente,57,bajo,Hora Pico,Hospital,Ayura,1,0,3.1,2,1,7
Frecuente,50,bajo,Hora Pico,Acevedo,Prado,1,0,14.4,0,1,8
Frecuente,28,bajo,Fuera de Hora Pico,La Estrella,Bello,1,0,9.2,1,1,5
Ocasional,4,bajo,Mañana,Cisneros,Envigado,1,0,6.6,1,1,3
Turista,13,medio,Tarde,Prado,San Javier,1,0,8.3,1,1,1
Frecuente,33,bajo,Fuera de Hora Pico,Bello,Santa Lucia,1,0,6.0,2,1,4
Premium,15,alto,Flexible,Poblado,Ayura,0,1,13.6,0,0,3
Premium,15,alto,Flexible,Prado,Itagui,0,1,11.7,0,1,0
Frecuente,56,bajo,Hora Pico,Ayura,San Antonio,1,0,3.7,1,1,8
Premium,20,alto,Flexible,San Antonio,Envigado,0,1,8.8,2,0,1
Premium,18,alto,Flexible,San Antonio,Cisneros,0,1,14.4,1,1,7
Ocasional,7,bajo,Tarde,San Javier,Aguacatala,1,0,3.7,3,0,3
Ocasional,2,bajo,Noche,Santa Lucia,Industriales,0,0,11.4,0,1,5
Premium,12,alto,Flexible,Aguacatala,Universidad,0,1,11.7,1,0,0
Frecuente,51,bajo,Fuera de Hora Pico,Sabaneta,Madera,1,0,14.7,0,1,3
