estacion,dia_semana,hora,es_hora_pico,es_finde_semana,afluencia_1,afluencia_2,afluencia_3,afluencia_4,afluencia_promedio,capacidad_estacion,porcentaje_ocupacion,tiempo_espera_min,nivel_congestion,clima,evento_especial
Industriales,Martes,12,1,0,1673,1462,2879,1490,1876.0,5000,37.5,17.1,Bajo,Soleado,0
Floresta,Sabado,21,0,1,1400,1177,1137,1150,1216.0,5000,24.3,6.7,Bajo,Soleado,0
Bello,Viernes,16,0,0,2107,829,684,817,1109.2,5000,22.2,10.8,Bajo,Soleado,0
Exposiciones,Viernes,5,0,0,512,212,397,214,333.8,5000,6.7,5.8,Bajo,Tormenta,0
Suramericana,Sabado,18,1,1,1124,815,1677,2375,1497.8,5000,30.0,17.2,Bajo,Lluvia,0
La Estrella,Domingo,5,0,1,122,213,193,104,158.0,5000,3.2,6.4,Bajo,Soleado,1
Estadio,Domingo,0,0,1,356,132,124,123,183.8,5000,3.7,11.4,Bajo,Lluvia,1
Cisneros,Martes,19,1,0,3776,2882,2952,1515,2781.2,5000,55.6,8.4,Medio,Tormenta,0
Industriales,Jueves,22,0,0,1480,905,1410,1386,1295.2,5000,25.9,10.8,Bajo,Tormenta,0
Caribe,Lunes,18,1,0,3781,3671,2518,1865,2958.8,5000,59.2,19.8,Medio,Tormenta,0
Niquia,Viernes,5,0,0,1228,568,609,847,813.0,5000,16.3,13.0,Bajo,Nublado,0
Santa Lucia,Lunes,7,1,0,2971,996,1867,2586,2105.0,5000,42.1,9.0,Bajo,Soleado,1
Envigado,Jueves,23,0,0,566,502,586,468,530.5,5000,10.6,4.7,Bajo,Nublado,0
Exposiciones,Sabado,12,1,1,1623,2448,4369,4140,3145.0,5000,62.9,18.3,Medio,Lluvia,0
Aguacatala,Domingo,22,0,1,579,796,711,401,621.8,5000,12.4,3.5,Bajo,Nublado,0
Caribe,Viernes,14,1,0,830,1124,2075,1984,1503.2,5000,30.1,10.3,Bajo,Soleado,0
Cisneros,Miercoles,11,1,0,1332,2372,2347,1700,1937.8,5000,38.8,7.9,Bajo,Tormenta,1
Niquia,Lunes,17,1,0,8723,2210,1705,2441,3769.8,5000,75.4,13.2,Medio,Tormenta,0
Acevedo,Miercoles,14,1,0,6590,4981,5289,5436,5574.0,5000,111.5,18.5,Alto,Nublado,0
Ayura,Viernes,23,0,0,458,427,288,400,393.2,5000,7.9,12.3,Bajo,Nublado,0
Ayura,Martes,14,1,0,3611,3198,1591,2087,2621.8,5000,52.4,17.5,Medio,Nublado,0
Bello,Martes,20,0,0,1521,1263,1642,768,1298.5,5000,26.0,8.8,Bajo,Tormenta,0
Sabaneta,Sabado,0,0,1,210,164,360,114,212.0,5000,4.2,8.0,Bajo,Nublado,1
San Javier,Jueves,13,1,0,2160,1073,2457,3003,2173.2,5000,43.5,13.5,Bajo,Tormenta,1
San Javier,Miercoles,7,1,0,1200,1481,975,2911,1641.8,5000,32.8,20.7,Bajo,Nublado,0
Bello,Sabado,6,1,1,842,1175,867,586,867.5,5000,17.3,7.6,Bajo,Nublado,0
Envigado,Domingo,15,0,1,495,441,743,466,536.2,5000,10.7,12.7,Bajo,Tormenta,0
Universidad,Viernes,18,1,0,919,2878,1349,2884,2007.5,5000,40.2,14.7,Bajo,Lluvia,1
Estadio,Lunes,12,1,0,725,1460,3816,1744,1936.2,5000,38.7,16.9,Bajo,Lluvia,0
Niquia,Viernes,19,1,0,6194,7245,8923,7721,7520.8,5000,150.4,22.3,Alto,Soleado,0
Madera,Sabado,19,1,1,1228,1806,1475,1496,1501.2,5000,30.0,7.4,Bajo,Lluvia,0
Hospital,Martes,9,0,0,796,1498,1781,1373,1362.0,5000,27.2,3.9,Bajo,Nublado,1
Parque Berrio,Domingo,23,0,1,660,563,185,184,398.0,5000,8.0,12.1,Bajo,Soleado,1
Cisneros,Domingo,19,1,1,1994,1510,1927,953,1596.0,5000,31.9,10.0,Bajo,Tormenta,0
Acevedo,Lunes,16,0,0,1891,1151,752,2826,1655.0,5000,33.1,12.0,Bajo,Soleado,0
Alpujarra,Lunes,11,1,0,7557,3603,3162,5598,4980.0,5000,99.6,9.6,Alto,Nublado,0
Tricentenario,Miercoles,9,0,0,1244,953,1746,1385,1332.0,5000,26.6,7.8,Bajo,Nublado,0
Bello,Sabado,17,1,1,1191,1329,625,1500,1161.2,5000,23.2,16.1,Bajo,Tormenta,0
Santa Lucia,Lunes,0,0,0,263,238,224,567,323.0,5000,6.5,5.8,Bajo,Soleado,0
Poblado,Martes,0,0,0,1188,698,355,535,694.0,5000,13.9,7.7,Bajo,Tormenta,0
Ayura,Jueves,7,1,0,2652,1436,1066,1619,1693.2,5000,33.9,10.5,Bajo,Soleado,0
Floresta,Lunes,18,1,0,1584,940,3689,2961,2293.5,5000,45.9,9.4,Bajo,Soleado,0
Prado,Miercoles,19,1,0,3676,2259,1984,3712,2907.8,5000,58.2,20.6,Medio,Soleado,0
Prado,Viernes,14,1,0,2803,2009,1222,2606,2160.0,5000,43.2,10.2,Bajo,Soleado,0
Prado,Lunes,12,1,0,1574,985,3943,2142,2161.0,5000,43.2,4.0,Bajo,Tormenta,0
Exposiciones,Domingo,1,0,1,325,566,843,756,622.5,5000,12.4,8.0,Bajo,Lluvia,1
Envigado,Miercoles,6,1,0,3372,1907,2759,1571,2402.2,5000,48.0,6.0,Bajo,Soleado,0
San Antonio,Jueves,2,0,0,340,261,1019,633,563.2,5000,11.3,13.8,Bajo,Lluvia,0
Prado,Viernes,20,0,0,632,775,1232,1518,1039.2,5000,20.8,11.9,Bajo,Nublado,0
Aguacatala,Martes,6,1,0,2165,1281,2437,1723,1901.5,5000,38.0,6.2,Bajo,Tormenta,0
Universidad,Domingo,12,1,1,1112,948,1214,1279,1138.2,5000,22.8,10.9,Bajo,Tormenta,1
Estadio,Martes,1,0,0,355,204,514,457,382.5,5000,7.6,11.1,Bajo,Nublado,0
San Antonio,Viernes,11,1,0,3006,3153,7505,4138,4450.5,5000,89.0,5.1,Alto,Soleado,1
Poblado,Viernes,22,0,0,4441,1694,4085,1334,2888.5,5000,57.8,11.9,Medio,Soleado,0
Prado,Jueves,13,1,0,3391,1836,1946,1114,2071.8,5000,41.4,10.9,Bajo,Lluvia,1
Cisneros,Viernes,12,1,0,2531,1953,2262,2060,2201.5,5000,44.0,15.4,Bajo,Tormenta,0
Aguacatala,Viernes,13,1,0,2368,2354,855,1508,1771.2,5000,35.4,21.0,Bajo,Nublado,0
Suramericana,Miercoles,3,0,0,212,531,560,573,469.0,5000,9.4,8.8,Bajo,Tormenta,0
Parque Berrio,Jueves,5,0,0,331,364,204,227,281.5,5000,5.6,10.6,Bajo,Soleado,0
Madera,Sabado,6,1,1,1147,990,439,1450,1006.5,5000,20.1,6.7,Bajo,Lluvia,1
Cisneros,Jueves,6,1,0,1756,2016,1291,1715,1694.5,5000,33.9,16.6,Bajo,Tormenta,0
Caribe,Viernes,16,0,0,2364,1162,619,2237,1595.5,5000,31.9,11.1,Bajo,Tormenta,0
Niquia,Domingo,14,1,1,2642,2514,2521,3674,2837.8,5000,56.8,17.5,Medio,Lluvia,1
San Antonio,Miercoles,15,0,0,1996,2282,1638,1134,1762.5,5000,35.2,2.5,Bajo,Lluvia,0
San Antonio,Martes,2,0,0,500,462,699,827,622.0,5000,12.4,2.9,Bajo,Tormenta,0
San Javier,Miercoles,1,0,0,324,196,289,299,277.0,5000,5.5,14.5,Bajo,Nublado,0
Acevedo,Viernes,12,1,0,3685,5175,8676,2150,4921.5,5000,98.4,12.2,Alto,Nublado,1
Industriales,Martes,8,1,0,3823,1412,3202,817,2313.5,5000,46.3,3.1,Bajo,Soleado,0
Aguacatala,Martes,3,0,0,275,465,338,626,426.0,5000,8.5,6.2,Bajo,Nublado,1
Universidad,Miercoles,17,1,0,2109,2249,1432,2048,1959.5,5000,39.2,8.0,Bajo,Soleado,1
Cisneros,Sabado,9,0,1,988,589,392,749,679.5,5000,13.6,14.1,Bajo,Lluvia,1
Prado,Viernes,10,0,0,701,476,433,2223,958.2,5000,19.2,10.8,Bajo,Soleado,0
Cisneros,Sabado,15,0,1,409,516,644,557,531.5,5000,10.6,7.9,Bajo,Nublado,0
Suramericana,Viernes,7,1,0,3836,958,1311,3067,2293.0,5000,45.9,3.9,Bajo,Soleado,0
Poblado,Miercoles,11,1,0,5080,2862,8279,3915,5034.0,5000,100.7,4.0,Alto,Lluvia,0
Itagui,Jueves,6,1,0,1714,3718,3330,1567,2582.2,5000,51.6,4.2,Medio,Tormenta,0
Santa Lucia,Martes,19,1,0,1447,1053,1051,2938,1622.2,5000,32.4,20.9,Bajo,Tormenta,0
Madera,Miercoles,19,1,0,2858,2144,2585,4197,2946.0,5000,58.9,6.0,Medio,Lluvia,0
Cisneros,Domingo,13,1,1,600,1996,1984,740,1330.0,5000,26.6,8.1,Bajo,Lluvia,1
Sabaneta,Miercoles,6,1,0,2651,3088,1319,3228,2571.5,5000,51.4,19.9,Medio,Lluvia,0
Sabaneta,Lunes,19,1,0,2364,2000,1511,3080,2238.8,5000,44.8,15.0,Bajo,Lluvia,1
Universidad,Jueves,6,1,0,2558,2534,920,680,1673.0,5000,33.5,5.5,Bajo,Soleado,0
Hospital,Miercoles,22,0,0,1440,2113,836,974,1340.8,5000,26.8,8.6,Bajo,Lluvia,0
San Javier,Jueves,14,1,0,2989,3797,3036,3612,3358.5,5000,67.2,14.0,Medio,Nublado,0
Tricentenario,Jueves,9,0,0,615,1128,1623,960,1081.5,5000,21.6,2.8,Bajo,Soleado,1
Universidad,Lunes,9,0,0,1724,686,1761,2070,1560.2,5000,31.2,9.3,Bajo,Nublado,0
Aguacatala,Sabado,11,1,1,1186,549,706,513,738.5,5000,14.8,7.2,Bajo,Soleado,0
Caribe,Sabado,22,0,1,585,570,509,860,631.0,5000,12.6,4.9,Bajo,Nublado,0
Envigado,Martes,8,1,0,2398,1423,1884,2773,2119.5,5000,42.4,17.6,Bajo,Soleado,0
Prado,Viernes,6,1,0,1164,889,1632,2331,1504.0,5000,30.1,19.8,Bajo,Tormenta,0
Estadio,Lunes,21,0,0,1648,1323,825,902,1174.5,5000,23.5,13.8,Bajo,Tormenta,0
San Antonio,Martes,8,1,0,6982,2715,5551,6681,5482.2,5000,109.6,4.7,Alto,Lluvia,1
Madera,Sabado,14,1,1,762,1332,1074,820,997.0,5000,19.9,22.3,Bajo,Tormenta,1
La Estrella,Lunes,20,0,0,630,844,772,1978,1056.0,5000,21.1,2.2,Bajo,Tormenta,0
Sabaneta,Viernes,0,0,0,599,574,407,543,530.8,5000,10.6,10.7,Bajo,Soleado,0
La Estrella,Sabado,9,0,1,592,431,833,1267,780.8,5000,15.6,2.5,Bajo,Lluvia,0
Alpujarra,Domingo,3,0,1,426,587,425,272,427.5,5000,8.6,13.4,Bajo,Soleado,0
Ayura,Viernes,19,1,0,3073,2638,2639,3465,2953.8,5000,59.1,8.2,Medio,Soleado,0
Exposiciones,Lunes,2,0,0,648,364,178,450,410.0,5000,8.2,8.0,Bajo,Tormenta,0
San Javier,Jueves,23,0,0,141,354,209,306,252.5,5000,5.1,15.0,Bajo,Nublado,1
San Antonio,Martes,13,1,0,7399,7532,4359,6109,6349.8,5000,127.0,6.7,Alto,Lluvia,0
Universidad,Domingo,5,0,1,109,223,174,138,161.0,5000,3.2,13.3,Bajo,Tormenta,0
Industriales,Jueves,20,0,0,2201,742,1637,1919,1624.8,5000,32.5,13.3,Bajo,Soleado,0
Acevedo,Miercoles,23,0,0,462,386,349,984,545.2,5000,10.9,5.5,Bajo,Lluvia,0
Sabaneta,Viernes,12,1,0,2071,1263,2132,1248,1678.5,5000,33.6,8.2,Bajo,Nublado,0
Parque Berrio,Martes,6,1,0,1144,1164,3663,2236,2051.8,5000,41.0,15.3,Bajo,Nublado,0
San Javier,Viernes,18,1,0,3104,2601,2498,1104,2326.8,5000,46.5,4.9,Bajo,Soleado,0
Tricentenario,Sabado,12,1,1,1023,1042,1249,1135,1112.2,5000,22.2,3.2,Bajo,Tormenta,0
Sabaneta,Lunes,21,0,0,1504,847,1697,490,1134.5,5000,22.7,6.4,Bajo,Nublado,0
Acevedo,Jueves,1,0,0,1357,464,1019,890,932.5,5000,18.6,6.0,Bajo,Nublado,1
Estadio,Miercoles,11,1,0,1814,1599,2125,2632,2042.5,5000,40.8,7.5,Bajo,Nublado,0
Niquia,Domingo,5,0,1,483,420,456,187,386.5,5000,7.7,13.8,Bajo,Soleado,0
Alpujarra,Domingo,19,1,1,2763,3056,3647,1612,2769.5,5000,55.4,11.4,Medio,Soleado,0
Parque Berrio,Sabado,0,0,1,450,1047,898,337,683.0,5000,13.7,12.7,Bajo,Lluvia,0
Cisneros,Martes,12,1,0,2054,2101,2862,1385,2100.5,5000,42.0,8.9,Bajo,Nublado,0
Ayura,Lunes,4,0,0,289,474,342,394,374.8,5000,7.5,12.7,Bajo,Tormenta,0
Santa Lucia,Domingo,19,1,1,1702,1377,1390,934,1350.8,5000,27.0,5.3,Bajo,Tormenta,0
San Javier,Viernes,9,0,0,1211,649,2429,1351,1410.0,5000,28.2,5.7,Bajo,Nublado,0
Prado,Domingo,16,0,1,382,1056,243,425,526.5,5000,10.5,10.2,Bajo,Nublado,0
Itagui,Viernes,8,1,0,1061,1263,3372,1956,1913.0,5000,38.3,11.1,Bajo,Lluvia,0
Poblado,Jueves,23,0,0,661,1013,690,534,724.5,5000,14.5,8.3,Bajo,Tormenta,1
Aguacatala,Jueves,9,0,0,1596,820,1467,631,1128.5,5000,22.6,12.2,Bajo,Nublado,0
Hospital,Domingo,15,0,1,498,242,893,691,581.0,5000,11.6,9.4,Bajo,Soleado,0
Sabaneta,Domingo,19,1,1,1580,1394,1262,1043,1319.8,5000,26.4,17.4,Bajo,Nublado,0
Itagui,Martes,22,0,0,944,1370,1055,1489,1214.5,5000,24.3,6.1,Bajo,Tormenta,0
Parque Berrio,Jueves,0,0,0,286,402,653,281,405.5,5000,8.1,14.4,Bajo,Tormenta,0
Envigado,Martes,10,0,0,1423,653,2381,832,1322.2,5000,26.4,11.7,Bajo,Tormenta,0
Madera,Sabado,1,0,1,217,258,216,381,268.0,5000,5.4,6.7,Bajo,Lluvia,0
Santa Lucia,Jueves,4,0,0,168,197,233,387,246.2,5000,4.9,4.9,Bajo,Lluvia,0
Acevedo,Miercoles,3,0,0,1240,1114,1097,614,1016.2,5000,20.3,10.6,Bajo,Nublado,1
Envigado,Jueves,12,1,0,3419,1688,3340,1603,2512.5,5000,50.2,14.6,Medio,Tormenta,1
San Antonio,Domingo,9,0,1,1957,1714,1491,815,1494.2,5000,29.9,4.0,Bajo,Soleado,1
Ayura,Lunes,9,0,0,1773,792,1868,485,1229.5,5000,24.6,9.7,Bajo,Soleado,0
Universidad,Lunes,0,0,0,371,299,406,568,411.0,5000,8.2,3.5,Bajo,Soleado,1
Itagui,Miercoles,7,1,0,1051,1174,2012,1574,1452.8,5000,29.1,8.5,Bajo,Nublado,0
Poblado,Miercoles,18,1,0,6215,8430,3196,4976,5704.2,5000,114.1,15.7,Alto,Soleado,1
Madera,Viernes,12,1,0,4367,1346,1127,3293,2533.2,5000,50.7,22.1,Medio,Soleado,1
Hospital,Domingo,7,1,1,967,1235,1762,527,1122.8,5000,22.5,11.0,Bajo,Nublado,0
Industriales,Sabado,19,1,1,916,755,1421,985,1019.2,5000,20.4,11.4,Bajo,Lluvia,1
Ayura,Viernes,3,0,0,380,362,480,377,399.8,5000,8.0,3.4,Bajo,Nublado,0
San Javier,Viernes,1,0,0,229,567,362,687,461.2,5000,9.2,10.9,Bajo,Soleado,0
Ayura,Martes,3,0,0,181,139,321,386,256.8,5000,5.1,9.7,Bajo,Tormenta,0
Ayura,Viernes,0,0,0,404,369,263,341,344.2,5000,6.9,12.6,Bajo,Tormenta,1
Cisneros,Martes,12,1,0,1385,2450,1528,3339,2175.5,5000,43.5,8.4,Bajo,Tormenta,1
Madera,Martes,2,0,0,399,503,485,467,463.5,5000,9.3,2.2,Bajo,Lluvia,1
Hospital,Miercoles,20,0,0,1140,1059,723,739,915.2,5000,18.3,12.9,Bajo,Nublado,0
La Estrella,Lunes,23,0,0,209,294,488,563,388.5,5000,7.8,3.9,Bajo,Lluvia,1
Hospital,Martes,18,1,0,1229,2987,3213,2628,2514.2,5000,50.3,8.4,Medio,Soleado,0
Prado,Domingo,19,1,1,810,1053,726,1701,1072.5,5000,21.4,4.4,Bajo,Soleado,1
Santa Lucia,Lunes,12,1,0,3364,2149,3523,1647,2670.8,5000,53.4,22.0,Medio,Tormenta,0
Ayura,Domingo,16,0,1,709,813,817,550,722.2,5000,14.4,5.3,Bajo,Lluvia,0
Poblado,Viernes,9,0,0,2318,2231,3246,4684,3119.8,5000,62.4,4.0,Medio,Soleado,1
Niquia,Viernes,8,1,0,2571,5535,2390,4590,3771.5,5000,75.4,11.6,Medio,Tormenta,1
Cisneros,Sabado,12,1,1,1177,2139,1573,1504,1598.2,5000,32.0,9.7,Bajo,Lluvia,0
Suramericana,Viernes,15,0,0,1394,813,989,1073,1067.2,5000,21.3,6.5,Bajo,Lluvia,0
San Javier,Viernes,10,0,0,1235,625,935,583,844.5,5000,16.9,14.2,Bajo,Soleado,0
Ayura,Viernes,21,0,0,1731,1832,1034,1589,1546.5,5000,30.9,10.2,Bajo,Nublado,1
Caribe,Sabado,23,0,1,128,183,113,144,142.0,5000,2.8,13.3,Bajo,Lluvia,0
Cisneros,Lunes,13,1,0,2644,3752,3207,1846,2862.2,5000,57.2,19.0,Medio,Nublado,0
Tricentenario,Lunes,18,1,0,2672,1651,1511,673,1626.8,5000,32.5,7.7,Bajo,Nublado,0
Itagui,Miercoles,8,1,0,912,2220,2448,3453,2258.2,5000,45.2,19.2,Bajo,Soleado,0
Bello,Lunes,13,1,0,710,2130,1950,2259,1762.2,5000,35.2,9.3,Bajo,Soleado,0
San Javier,Lunes,23,0,0,296,417,224,627,391.0,5000,7.8,8.7,Bajo,Nublado,1
Prado,Lunes,17,1,0,1795,3814,1816,2842,2566.8,5000,51.3,21.6,Medio,Tormenta,0
Poblado,Martes,14,1,0,3350,8874,6749,7931,6726.0,5000,134.5,16.4,Alto,Soleado,0
Prado,Lunes,17,1,0,2966,1350,1421,1205,1735.5,5000,34.7,19.2,Bajo,Tormenta,1
Bello,Sabado,1,0,1,270,94,129,215,177.0,5000,3.5,11.7,Bajo,Tormenta,1
Ayura,Jueves,22,0,0,419,1286,1379,1065,1037.2,5000,20.7,14.0,Bajo,Soleado,0
Caribe,Domingo,3,0,1,231,390,169,159,237.2,5000,4.7,11.9,Bajo,Soleado,0
Niquia,Viernes,12,1,0,4035,5586,3819,6336,4944.0,5000,98.9,6.6,Alto,Tormenta,0
Aguacatala,Domingo,7,1,1,1808,477,1451,1149,1221.2,5000,24.4,12.8,Bajo,Nublado,0
Cisneros,Domingo,23,0,1,276,290,186,307,264.8,5000,5.3,10.6,Bajo,Soleado,1
Itagui,Jueves,18,1,0,4231,3204,3528,3314,3569.2,5000,71.4,19.1,Medio,Lluvia,1
Poblado,Domingo,2,0,1,513,876,434,1034,714.2,5000,14.3,14.6,Bajo,Lluvia,1
Santa Lucia,Miercoles,4,0,0,238,641,134,150,290.8,5000,5.8,11.9,Bajo,Lluvia,0
Niquia,Lunes,1,0,0,575,691,852,444,640.5,5000,12.8,6.9,Bajo,Tormenta,0
Aguacatala,Jueves,13,1,0,1133,1279,3011,2455,1969.5,5000,39.4,16.7,Bajo,Lluvia,0
Poblado,Miercoles,3,0,0,1074,877,429,1088,867.0,5000,17.3,2.1,Bajo,Nublado,0
Floresta,Viernes,16,0,0,659,1794,1857,1354,1416.0,5000,28.3,9.9,Bajo,Lluvia,1
Exposiciones,Martes,10,0,0,763,1105,779,1753,1100.0,5000,22.0,14.6,Bajo,Soleado,1
Poblado,Jueves,15,0,0,3281,2862,2881,3118,3035.5,5000,60.7,6.8,Medio,Nublado,0
Tricentenario,Lunes,18,1,0,1749,2649,3537,3765,2925.0,5000,58.5,4.8,Medio,Lluvia,0
Caribe,Lunes,16,0,0,829,698,1511,849,971.8,5000,19.4,10.2,Bajo,Lluvia,0
Envigado,Martes,21,0,0,1235,1556,1641,1475,1476.8,5000,29.5,14.6,Bajo,Soleado,0
Madera,Viernes,17,1,0,1556,3802,1349,3438,2536.2,5000,50.7,18.5,Medio,Tormenta,1
San Javier,Domingo,23,0,1,84,251,206,188,182.2,5000,3.6,3.9,Bajo,Soleado,1
Universidad,Jueves,13,1,0,1263,2903,1196,947,1577.2,5000,31.5,8.7,Bajo,Soleado,0
Santa Lucia,Miercoles,4,0,0,388,574,442,271,418.8,5000,8.4,5.3,Bajo,Tormenta,0
Suramericana,Sabado,15,0,1,759,1000,264,1031,763.5,5000,15.3,11.0,Bajo,Nublado,0
Exposiciones,Sabado,2,0,1,606,513,941,714,693.5,5000,13.9,8.3,Bajo,Tormenta,0
San Antonio,Viernes,12,1,0,1988,2486,5890,1996,3090.0,5000,61.8,4.6,Medio,Soleado,0
Tricentenario,Miercoles,23,0,0,525,192,407,508,408.0,5000,8.2,13.1,Bajo,Lluvia,1
San Javier,Sabado,7,1,1,2238,902,1286,561,1246.8,5000,24.9,22.4,Bajo,Soleado,0
Industriales,Sabado,18,1,1,1939,1402,1382,1065,1447.0,5000,28.9,13.1,Bajo,Tormenta,0
Tricentenario,Jueves,14,1,0,2402,2040,2023,2675,2285.0,5000,45.7,4.0,Bajo,Nublado,0
